"","Site","Sub_Site","Site_SubSite","Overall_Treatment","Site_Treatment","Year","Year_0","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Transect","Distance_m","Impacted","Elevation","Local_Tideshed_ID","Study_Tideshed_ID","MUD","DEAD","WATER","WRACK","DITCH_FILL","ALGAL_MAT","GREEN_ALG","VAUCH","ASCO","SPALT","SPPAT","DISPI","JUGER","SADEP","AGMAR","AMCAN","ARANS","ATPAT","BAHAL","BOMAR","BOROB","CHRUB","ELROS","FERUB","IVFRU","JUBAL","LYNAS","LYMAR","MYPEN","PAVIR","PHAUS","PLMAR","PLODO","PORAM","PUMAR","RUMAR","SABIG","SOSEM","SPCAE","SPPEC","SPMAR","SULIN","SUMAR","SYSUB","SYTEN","TECAN","TRMAR","AGSTO","AMCANA","ASTER","CASEP","CAHOR","CUSCUTA","DICLA","ELPAL","ELREP","ELVIR","EUGRA","HIODO","JUVIR","LACTUCA","LYSAL","MEAQU","PACLA","PAQUI","SACAN","SCAME","SCPUN","SOLIDAGO","SYNOV","TORAD","TYANG","TYLAT","UNK","Canopy_Height_cm","Thatch_cm","abiotic_cover","live_cover","high_marsh_grams","salicornia","other","algae_cover","richness"
"1","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T1",0,"Yes",0.969,"Broad Cove_3",6,5,40,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"",45,55,40,0,15,0,3
"2","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T1",10,"Yes",1.009,"Broad Cove_3",6,0,35,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,"",35,65,15,0,50,0,4
"3","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T1",20,"Yes",1.009,"Broad Cove_3",6,2,13,0,0,0,0,0,0,0,0,0,25,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"",15,85,60,0,25,0,4
"4","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T1",30,"Yes",1.029,"Broad Cove_3",6,0,40,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"",40,60,45,0,15,0,3
"5","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T1",40,"Yes",1.039,"Broad Cove_3",6,0,10,0,0,0,0,0,0,0,0,55,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"",10,90,85,0,5,0,4
"6","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T2",0,"Yes",0.969,"Broad Cove_7",8,0,20,0,0,0,0,0,0,0,0,62,15,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"",20,80,77,0,3,0,4
"7","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T2",8,"Yes",1.024,"Broad Cove_7",8,0,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,"",10,90,50,0,40,0,2
"8","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T2",16,"Yes",1.039,"Broad Cove_7",8,0,10,0,0,0,0,0,0,0,0,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,"",10,90,90,0,0,0,2
"9","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne","T2",24,"Yes",1.079,"Broad Cove_7",8,0,20,0,0,0,0,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,38,"",20,80,75,0,5,0,3
"10","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T1",1,"Yes",0.974,"Broad Cove_6",4,5,20,0,0,0,0,0,0,0,0,0,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"",25,75,72,0,3,0,3
"11","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T1",9,"Yes",0.969,"Broad Cove_6",4,0,5,0,0,0,0,0,0,0,0,0,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"",5,95,95,0,0,0,2
"12","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T1",17,"Yes",0.969,"Broad Cove_6",4,10,10,0,0,0,0,0,0,0,0,0,10,65,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"",20,80,75,3,2,0,4
"13","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T1",25,"Yes",0.989,"Broad Cove_6",4,5,5,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"",10,90,54,0,36,0,4
"14","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T2",0,"Yes",0.983,"Broad Cove_4",2,30,10,0,0,0,0,0,0,0,5,15,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"",40,60,45,0,10,0,5
"15","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T2",8,"Yes",1.018,"Broad Cove_4",2,15,10,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"",25,75,47,0,28,0,3
"16","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T2",16,"Yes",1.023,"Broad Cove_4",2,0,50,0,3,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"",53,47,42,0,5,0,3
"17","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T2",24,"Yes",1.038,"Broad Cove_4",2,10,5,0,0,0,0,0,0,0,0,0,25,54,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"",15,85,79,0,6,0,5
"18","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne","T2",32,"Yes",1.098,"Broad Cove_4",2,0,10,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"",10,90,54,0,36,0,5
"19","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T1",0,"Yes",NA,"Broad Cove_3",6,0,8,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,"0",8,92,55,0,37,0,4
"20","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T1",10,"Yes",NA,"Broad Cove_3",6,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,"0",0,100,25,0,75,0,4
"21","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T1",20,"Yes",NA,"Broad Cove_3",6,0,10,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"4",10,90,70,0,20,0,4
"22","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T1",30,"Yes",NA,"Broad Cove_3",6,0,9,0,0,0,0,0,0,0,0,15,15,10,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"7",9,91,45,0,46,0,6
"23","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T1",40,"Yes",NA,"Broad Cove_3",6,0,12,0,0,0,0,0,0,0,0,50,15,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"5",12,88,78,0,10,0,4
"24","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T2",0,"Yes",NA,"Broad Cove_7",8,0,5,0,0,0,0,0,0,0,0,83,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"5",5,95,90,0,5,0,3
"25","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T2",8,"Yes",NA,"Broad Cove_7",8,0,12,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,"8",12,88,76,0,12,0,2
"26","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T2",16,"Yes",NA,"Broad Cove_7",8,0,12,0,0,0,0,0,0,0,0,79,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"4",12,88,86,0,2,0,3
"27","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne","T2",24,"Yes",NA,"Broad Cove_7",8,0,25,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,68,"10",25,75,40,0,35,0,5
"28","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne","T1",1,"Yes",NA,"Broad Cove_6",4,0,5,0,0,0,0,0,0,0,0,0,20,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"5",5,95,93,0,2,0,4
"29","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne","T1",9,"Yes",NA,"Broad Cove_6",4,0,0,0,0,0,0,0,0,0,0,0,25,72,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"0",0,100,97,0,3,0,3
"30","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne","T1",17,"Yes",NA,"Broad Cove_6",4,0,5,0,0,0,0,0,0,0,0,10,12,69,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"0",5,95,91,0,4,0,4
"31","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne","T1",25,"Yes",NA,"Broad Cove_6",4,0,4,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"0",4,96,60,0,36,0,4
"32","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne","T2",0,"Yes",NA,"Broad Cove_4",2,0,10,0,0,0,0,0,0,0,10,0,9,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"0",10,90,64,0,16,0,4
"33","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne","T2",8,"Yes",NA,"Broad Cove_4",2,0,0,0,2,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"0",2,98,70,0,28,0,3
