"","Site_Treatment","Year","Overall_Treatment","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Age_Classification","SPALT","AGMAR","ATPAT","IVFRU","LYNAS","LYMAR","PLMAR","RUMAR","SOSEM","SULIN","SYTEN","Canopy_Height_cm","abiotic_cover","live_cover","high_marsh_grams","salicornia","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"1","Broad Cove - Runnel",2021,"Runnel",4,"Microtidal","Panne","Early Restoration",0,0,0.11,11.89,0,0,0,0,0.56,0,0,46.56,22.78,77.22,59.67,0,"Panne",0.95,0.971,1.305,1.331,0.068,5.11,0.047,3.53,-0.287,-21.56,41.4,31.6,0.047,58.6,40.4,-0.003,0.126
"2","Broad Cove - Runnel",2024,"Runnel",7,"Microtidal","Panne","Older Restoration",0,0,0,13.78,0,0,0,0,2.44,0,0,57.78,10.33,89.67,62.78,0,"Panne",0.95,0.971,1.305,1.331,0.068,5.11,0.047,3.53,-0.287,-21.56,9.6,12.1,0.144,30.5,19,0.094,0.132
"3","Canonchet - Runnel",2022,"Runnel",7,"Microtidal","Panne","Older Restoration",30.38,2.62,5.62,0,0,0,0.25,0,0,0,0.88,19.62,29.5,70.5,30.75,0,"Panne",0.454,0.503,0.764,1.056,-0.026,-2.46,-0.075,-7.1,-0.336,-31.82,44.3,57.9,0.064,53.7,71.9,0.014,0.124
"4","Canonchet - Runnel",2024,"Runnel",9,"Microtidal","Panne","Older Restoration",39.12,5.38,0,0,0,0,0,0,0,0,0.88,26.88,22.75,77.25,31.75,0.12,"Panne",0.454,0.503,0.764,1.056,-0.026,-2.46,-0.075,-7.1,-0.336,-31.82,6.9,43.1,0.103,43.5,51.7,0.053,0.139
"5","Essex - North - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",49.22,0,0,0,0,0,0,0,0.11,0,0,20.33,46.89,53.11,3.78,0,"Pool",1.232,1.364,2.038,2.893,0.28,9.68,0.148,5.12,-0.526,-18.18,12.2,24.6,0.075,38.4,36.8,0.025,0.068
"6","Essex - North - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",46.5,0,0,0,0.1,0,0,1,0,5.5,0,30.9,37.8,62.2,7.9,1.2,"Pool",1.232,1.364,2.038,2.893,0.28,9.68,0.148,5.12,-0.526,-18.18,20.9,31.6,0.112,29.9,33.3,0.062,0.098
"7","Essex - South - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",32,0,0,0,0,0,0,0,1,0,0,22.6,28.2,71.8,38.8,0,"Pool",1.353,1.447,1.759,2.893,-0.119,-4.11,-0.213,-7.36,-0.525,-18.15,8.8,45.6,0.077,29.3,57.9,0.027,0.049
"8","Essex - South - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",55,0,0,0,0.8,0,1.2,0,0,1,0,53.6,30.6,69.4,11.2,0.2,"Pool",1.353,1.447,1.759,2.893,-0.119,-4.11,-0.213,-7.36,-0.525,-18.15,21,61.4,0.07,57.9,80.7,0.02,0.104
"9","Ipswich - Runnel",2022,"Runnel",0,"Mesotidal","Panne","Early Restoration",27.08,0,0,0,0,0,0,0,0,0,0,11.83,60.58,39.42,9,3.33,"Panne",1.35,1.446,1.703,2.893,-0.023,-0.8,-0.119,-4.11,-0.376,-13,4.8,43.9,0.052,73,47.4,0.002,0.056
"10","Ipswich - Runnel",2024,"Runnel",2,"Mesotidal","Panne","Early Restoration",35.75,0,0,0,0.08,0,0,0,0,0,0,20.33,57.58,42.42,5.83,0.75,"Panne",1.35,1.446,1.703,2.893,-0.023,-0.8,-0.119,-4.11,-0.376,-13,17.2,25.9,0.053,55.1,27.6,0.003,0.072
