"","Site_Treatment","Year","Overall_Treatment","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Age_Classification","SPALT","AGMAR","ATPAT","IVFRU","LYNAS","LYMAR","PLMAR","RUMAR","SOSEM","SULIN","SYTEN","TRMAR","Canopy_Height_cm","abiotic_cover","live_cover","high_marsh_grams","salicornia","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"1","Broad Cove - Reference",2024,"Reference",7,"Microtidal","Panne","Reference",1.11,0,1,0.89,0,0,0,0,13.22,0,0,0,38.56,4.78,95.22,78,0,"",0.95,0.971,1.305,1.331,0.057,4.28,0.036,2.7,-0.298,-22.39,2,13.8,0.215,29.7,22.4,0.165,0.227
"2","Broad Cove - Runnel",2021,"Runnel",4,"Microtidal","Panne","Early Restoration",0,0,0.11,11.89,0,0,0,0,0.56,0,0,0,46.56,22.78,77.22,59.67,0,"Panne",0.95,0.971,1.305,1.331,0.068,5.11,0.047,3.53,-0.287,-21.56,41.4,31.6,0.047,58.6,40.4,-0.003,0.126
"3","Broad Cove - Runnel",2024,"Runnel",7,"Microtidal","Panne","Older Restoration",0,0,0,13.78,0,0,0,0,2.44,0,0,0,57.78,10.33,89.67,62.78,0,"Panne",0.95,0.971,1.305,1.331,0.068,5.11,0.047,3.53,-0.287,-21.56,9.6,12.1,0.144,30.5,19,0.094,0.132
"4","Canonchet - No Action",2022,"No Action",7,"Microtidal","Panne","Pre-Restoration",27.22,0,0,0,0,0,0,0,0,0,0,0,11.67,54.22,45.78,18.56,0,"",0.454,0.503,0.764,1.056,-0.038,-3.6,-0.087,-8.24,-0.348,-32.95,100,61.4,-0.09,100,75.4,-0.14,0.061
"5","Canonchet - No Action",2024,"No Action",9,"Microtidal","Panne","Pre-Restoration",19.78,0,0,0,0,0,0,0,0,0,0,0,18.5,62.89,37.11,17.22,0.11,"",0.454,0.503,0.764,1.056,-0.038,-3.6,-0.087,-8.24,-0.348,-32.95,99.4,44.8,-0.055,100,55.2,-0.105,0.058
"6","Canonchet - Reference",2022,"Reference",7,"Microtidal","Panne","Reference",17.11,0,0,1.11,0.67,0,0.44,0,0,0,0.44,0,24.89,14.22,85.78,65.89,0.11,"",0.454,0.503,0.764,1.056,-0.001,-0.09,-0.05,-4.73,-0.311,-29.45,21.1,45.6,0.084,53.5,64.9,0.034,0.147
"7","Canonchet - Reference",2024,"Reference",9,"Microtidal","Panne","Reference",22,0.22,0,1.67,0.11,0,0.56,0,0,0,1.33,0,31.67,23,77,47.56,3.56,"",0.454,0.503,0.764,1.056,-0.001,-0.09,-0.05,-4.73,-0.311,-29.45,11.2,32.8,0.114,46,51.7,0.064,0.2
"8","Canonchet - Runnel",2022,"Runnel",7,"Microtidal","Panne","Older Restoration",30.38,2.62,5.62,0,0,0,0.25,0,0,0,0.88,0,19.62,29.5,70.5,30.75,0,"Panne",0.454,0.503,0.764,1.056,-0.026,-2.46,-0.075,-7.1,-0.336,-31.82,44.3,57.9,0.064,53.7,71.9,0.014,0.124
"9","Canonchet - Runnel",2024,"Runnel",9,"Microtidal","Panne","Older Restoration",39.12,5.38,0,0,0,0,0,0,0,0,0.88,0,26.88,22.75,77.25,31.75,0.12,"Panne",0.454,0.503,0.764,1.056,-0.026,-2.46,-0.075,-7.1,-0.336,-31.82,6.9,43.1,0.103,43.5,51.7,0.053,0.139
"10","Essex - North - No Action",2022,"No Action",0,"Mesotidal","Pool","Pre-Restoration",53.75,0,0,0,0,0,0,0,0,0,0,0,26.25,28.25,71.75,18,0,"",1.232,1.364,2.038,2.893,0.256,8.85,0.124,4.29,-0.55,-19.01,100,42.1,-0.11,100,47.4,-0.16,0.036
"11","Essex - North - No Action",2024,"No Action",2,"Mesotidal","Pool","Pre-Restoration",65.5,0,0,0,0,0,0,0,0,0,0,0,35,28.75,71.25,5.25,0.5,"",1.232,1.364,2.038,2.893,0.256,8.85,0.124,4.29,-0.55,-19.01,56.6,42.1,0.006,79.8,47.4,-0.044,0.086
"12","Essex - North - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",49.22,0,0,0,0,0,0,0,0.11,0,0,0,20.33,46.89,53.11,3.78,0,"Pool",1.232,1.364,2.038,2.893,0.28,9.68,0.148,5.12,-0.526,-18.18,12.2,24.6,0.075,38.4,36.8,0.025,0.068
"13","Essex - North - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",46.5,0,0,0,0.1,0,0,1,0,5.5,0,0,30.9,37.8,62.2,7.9,1.2,"Pool",1.232,1.364,2.038,2.893,0.28,9.68,0.148,5.12,-0.526,-18.18,20.9,31.6,0.112,29.9,33.3,0.062,0.098
"14","Essex - South - No Action",2022,"No Action",0,"Mesotidal","Pool","Pre-Restoration",3.38,1.88,0,0,3.38,0,0.38,0,0.38,0,0,0,14.38,34.5,65.5,56.12,0,"",1.353,1.447,1.759,2.893,0.11,3.8,0.016,0.55,-0.296,-10.23,18.4,28.1,0.04,76.4,36.8,-0.01,0.037
"15","Essex - South - No Action",2024,"No Action",2,"Mesotidal","Pool","Pre-Restoration",4.12,3.12,0,0.12,2.5,0,0,0.25,0,0.12,0,0,20.5,43,57,46.25,0.5,"",1.353,1.447,1.759,2.893,0.11,3.8,0.016,0.55,-0.296,-10.23,48,45.6,-0.004,77.7,50.9,-0.054,0.091
