"","Time_Since_Restoration","Overall_Treatment","Plot_count","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","other_mean","other_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"1",0,"No Action",6,43.3,5.3,56.7,5.3,30.2,6.8,25.1,6.6,8.2,3.5,1.5,1.1,1.9,0.2,20,1.9
"2",0,"Reference",5,13.7,2.7,86.3,2.7,7.4,2.9,76.2,4.3,2.7,1.4,0.1,0.1,3.1,0.2,21.8,1.6
"3",0,"Runnel",7,46.8,4.6,53.2,4.6,35.3,3.3,15.5,4.6,12.8,4.8,3,1.6,1.9,0.1,18.9,1.8
"4",2,"No Action",7,43,3.6,57,3.6,34.9,7.2,19.6,5.3,25.9,6.2,1.2,0.5,2,0.1,28.1,2.7
"5",2,"Reference",6,16,3.4,84,3.4,5,0.8,76.1,2.5,4.2,1.7,0,0,3.4,0.2,23.2,1.5
"6",2,"Runnel",8,42.7,4,57.3,4,38.1,5.3,16.4,3.3,21.7,6.3,2,0.8,2.2,0.1,32.8,4.9
"7",3,"No Action",1,54.3,NA,45.7,NA,24,NA,21.7,NA,0,NA,26,NA,1.7,NA,24.3,NA
"8",3,"Reference",1,17.7,NA,82.3,NA,24,NA,57.8,NA,2.2,NA,0,NA,2.3,NA,26.9,NA
"9",3,"Runnel",1,52.2,NA,47.8,NA,31.4,NA,12.4,NA,9.3,NA,4.6,NA,1.4,NA,19.1,NA
"10",4,"No Action",3,48.5,7.9,51.3,8.1,27.8,8.4,16.5,4.2,40.1,8,2.5,1.3,2,0.1,37.6,7.1
"11",4,"Reference",5,17.2,3.7,82.8,3.7,3.8,1.4,73.6,5.6,5.4,2.3,0.1,0.1,3.2,0.3,27.3,1.6
"12",4,"Runnel",5,34.7,6.6,65.3,6.6,27,8.6,29.9,8.3,10.3,3.4,3,2.8,2.5,0.3,34.1,6
"13",5,"No Action",1,48.1,NA,51.9,NA,20.6,NA,31.3,NA,9.2,NA,0,NA,2.1,NA,37.4,NA
"14",5,"Reference",2,10.7,4.3,89.3,4.3,2,0.5,77.9,5.1,11.4,7.5,0,0,3.2,0.8,21.4,1.2
"15",5,"Runnel",2,18,12,82,12,21.1,18.1,56.6,27,10.4,2.9,0,0,3,0.4,36.9,11.9
"16",6,"No Action",4,53,6.4,47,6.4,25.7,1.6,19,5,14.8,8.1,4,3.5,1.4,0.2,17.8,3.5
"17",6,"Reference",6,16.6,2.5,83.4,2.5,17,6.8,65.1,8.2,1.3,0.6,0,0,2.4,0.2,24.7,2.8
"18",6,"Runnel",6,35.2,5.4,64.8,5.4,36,5.2,25.2,7.4,8.4,4.2,3.7,2.1,2.2,0.2,27.8,5.6
"19",7,"No Action",4,47.9,5.5,52.2,5.5,32.1,6.2,16.4,1.3,22.1,8.2,6.6,3.9,2,0.4,24.4,4.4
"20",7,"Reference",5,14.3,3.7,85.7,3.7,8.3,2.7,71.9,4.7,5.5,2.8,0.3,0.3,3.5,0.3,26.4,3.2
"21",7,"Runnel",5,30,6.4,70.1,6.4,23.2,6.5,37.1,8.7,11.6,4,4.2,4.1,3.3,0.5,36.1,7.3
"22",8,"No Action",4,49.3,7.6,50.7,7.6,27.6,5.2,18.1,3.7,24.3,9,0,0,1.8,0.4,25.2,5.9
"23",8,"Reference",5,21.7,5.9,78.3,5.9,10.1,4.4,62.1,7.3,7.6,4.4,0,0,3.1,0.4,23.8,1.9
"24",8,"Runnel",5,31.7,3.4,68.3,3.4,23.7,4.9,37.8,8.3,10.7,4.8,0,0,2.6,0.3,31.3,4.8
"25",9,"No Action",2,47.7,15.2,52.3,15.2,23.3,3.5,26.5,9.3,26,12.9,3.4,3.4,1.7,0.6,20.6,2.1
"26",9,"Reference",3,13.8,4.7,86.2,4.7,9.7,6.5,73,13.2,3.5,2,0,0,3.1,0.5,24.1,3.8
"27",9,"Runnel",3,27.3,3.3,72.7,3.3,38.4,11,29.5,12.5,6.1,0.5,0.9,0.8,2.5,0.3,40.6,12.1
"28",10,"No Action",2,48.3,2.3,51.7,2.3,29,0.8,21,3.2,36.1,35.9,0.4,0,1.8,0.1,25,0.2
"29",10,"Reference",2,8.5,1.1,91.5,1.1,8.2,6,80.6,2.2,2.7,2.7,0,0,3.3,1.2,34.9,11.7
"30",10,"Runnel",2,29,6.2,70.9,6.1,30.8,0.9,33.2,11.4,6.9,6.2,1.6,1.6,2.7,0,32.6,1
"31",11,"No Action",1,32,NA,68,NA,35.6,NA,24.5,NA,19.1,NA,3.8,NA,2.9,NA,33.6,NA
"32",11,"Reference",1,31.6,NA,68.4,NA,12.1,NA,54.1,NA,2.2,NA,0,NA,3.7,NA,22.9,NA
"33",11,"Runnel",1,50.4,NA,49.6,NA,20.8,NA,21.1,NA,24.7,NA,7,NA,2.4,NA,23.8,NA
"34",13,"No Action",1,60.1,NA,39.9,NA,19.2,NA,15.3,NA,52.2,NA,0.2,NA,1.9,NA,22,NA
"35",13,"Reference",1,20.5,NA,79.5,NA,5.9,NA,68.8,NA,6.3,NA,0,NA,3.8,NA,27,NA
"36",13,"Runnel",1,44.5,NA,55.5,NA,18.9,NA,24,NA,12.6,NA,8.9,NA,3.2,NA,25.4,NA
