"","Time_Since_Restoration","Overall_Treatment","Plot_count","Elevation_mean","Elevation_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"1",0,"No Action",58,1.263,0.039,47,3.6,53,3.6,28.4,3,23.2,4.2,1.6,1.2,1.8,0.2,19.4,1.1
"2",0,"Reference",50,1.359,0.026,13.6,1.5,86.4,1.5,7.5,1.7,76.2,2.7,0.1,0.1,3.2,0.2,21.9,1.2
"3",0,"Runnel",74,1.314,0.031,48.1,3.8,51.9,3.8,35.8,3.5,13.5,2.9,4.2,1.7,1.9,0.1,19.3,1.4
"4",2,"No Action",69,1.349,0.012,44.6,3.1,55.4,3.1,34,3.2,19.1,3.3,1.4,0.6,2,0.1,27.4,1.7
"5",2,"Reference",62,1.485,0.003,15.6,1.9,84.4,1.9,5.1,0.9,76.5,2.1,0,0,3.4,0.1,23.2,1
"6",2,"Runnel",102,1.366,0.019,40.4,2.3,59.6,2.3,40.7,2.3,16.6,2.4,1.6,0.6,2.1,0.1,31.9,1.6
"7",3,"No Action",3,0.122,0.025,54.3,21.2,45.7,21.2,24,9.5,21.7,16.9,26,23.5,1.7,0.3,24.3,0.7
"8",3,"Reference",9,0.246,0.01,17.7,4.9,82.3,4.9,24,5.7,57.8,8.8,0,0,2.3,0.2,26.9,1.7
"9",3,"Runnel",19,0.174,0.013,52.2,6.4,47.8,6.4,31.4,5.7,12.4,5.9,4.6,1.2,1.4,0.2,19.1,2.1
"10",4,"No Action",33,1.014,0.114,46,4.4,53.8,4.5,30.3,4.5,16.2,4.4,2.3,0.9,2.1,0.2,37.6,5
"11",4,"Reference",54,0.987,0.067,15.3,1.6,84.7,1.6,3.5,0.9,76.1,2.3,0.1,0.1,3.1,0.2,26.9,1.2
"12",4,"Runnel",74,0.918,0.063,32.1,2.6,67.9,2.6,32.9,2.9,27.2,3.6,2.5,1.3,2.5,0.1,35.2,2.2
"13",5,"No Action",12,0.788,0.01,48.1,7.1,51.9,7.1,20.6,4.1,31.3,8.1,0,0,2.1,0.2,37.4,4.9
"14",5,"Reference",34,1.316,0.052,8.7,1.5,91.3,1.5,2.2,0.9,75.5,2.4,0,0,3.7,0.2,20.9,1.7
"15",5,"Runnel",25,1.304,0.061,22.3,3.5,77.7,3.5,27.7,4.6,46.9,6.4,0,0,2.8,0.2,41.2,3.4
"16",6,"No Action",34,0.886,0.089,50.6,6,49.4,6,26.7,5.5,20,5.5,5.2,3,1.4,0.2,18.2,2.3
"17",6,"Reference",57,1.08,0.071,15.6,1.8,84.4,1.8,15.5,3.4,67.6,4.4,0,0,2.4,0.1,23.8,1.3
"18",6,"Runnel",65,0.868,0.061,37.8,3.3,62.2,3.3,36.1,3.3,22.4,3.8,3.5,1.2,2.1,0.1,28.3,2.3
"19",7,"No Action",44,0.544,0.018,45.8,4.7,54.3,4.8,34.5,4.2,15.9,4.3,6,2.7,2.1,0.2,25.4,2.2
"20",7,"Reference",53,0.586,0.019,14.4,1.8,85.6,1.8,7.9,1.9,72.8,3.2,0.2,0.2,3.3,0.2,25.7,2.1
"21",7,"Runnel",61,0.571,0.014,31,2.7,69.2,2.7,24.2,2.9,36.4,4.1,4.2,2,3.4,0.2,36.5,3
"22",8,"No Action",39,0.203,0.007,48.8,4.7,51.2,4.7,28.9,4,18.1,4.1,0,0,1.8,0.2,26.2,2.6
"23",8,"Reference",59,0.252,0.004,17.8,2.1,82.2,2.1,7.7,1.8,63.4,3,0,0,3.3,0.2,21.9,1
"24",8,"Runnel",53,0.226,0.011,31.1,2.8,68.9,2.8,24.4,3,38.4,4.4,0.1,0.1,2.6,0.2,32.6,2.3
"25",9,"No Action",21,NA,NA,45.5,8.3,54.5,8.3,23.8,6.6,27.9,8.8,3.8,3.8,1.8,0.3,21,2.9
"26",9,"Reference",33,NA,NA,12.8,1.7,87.2,1.7,8.4,3,75.7,4.5,0,0,3,0.2,23.4,1.3
"27",9,"Runnel",26,NA,NA,27.7,2.3,72.3,2.3,39.8,5.5,27.8,6.5,0.9,0.8,2.5,0.3,42.5,4.9
"28",10,"No Action",27,1.534,0.008,48.4,5.3,51.6,5.3,29,4.3,20.9,5.6,0.4,0.3,1.8,0.2,25,2
"29",10,"Reference",23,1.432,0.004,8.7,0.9,91.3,0.9,7.4,3.2,80.9,3.5,0,0,3.4,0.3,33.4,3
"30",10,"Runnel",32,1.241,0.029,29.5,4.6,70.5,4.6,30.8,4.7,32.5,5.7,1.7,0.8,2.7,0.3,32.6,3
"31",11,"No Action",8,NA,NA,32,6.9,68,6.9,35.6,5.3,24.5,8.8,3.8,3.8,2.9,0.2,33.6,3
"32",11,"Reference",9,NA,NA,31.6,3.4,68.4,3.4,12.1,6.2,54.1,5.7,0,0,3.7,0.5,22.9,1.9
"33",11,"Runnel",10,NA,NA,50.4,8.4,49.6,8.4,20.8,5.1,21.1,7.9,7,5.9,2.4,0.5,23.8,2.7
"34",13,"No Action",14,NA,NA,60.1,7.7,39.9,7.7,19.2,4.3,15.3,7.3,0.2,0.2,1.9,0.2,22,3.5
"35",13,"Reference",13,NA,NA,20.5,2.4,79.5,2.4,5.9,5,68.8,4.9,0,0,3.8,0.5,27,1.2
"36",13,"Runnel",17,NA,NA,44.5,7.4,55.5,7.4,18.9,3.9,24,7.3,8.9,4.1,3.2,0.5,25.4,3.5
