"","Site","Sub_Site","Site_SubSite","Overall_Treatment","Site_Treatment","Year","Year_0","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Plot_count","Elevation_mean","Elevation_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","other_mean","other_se","salicornia_mean","salicornia_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"1","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal","Panne",9,1.007,0.014,22.6,5.2,77.4,5.2,0.6,0.6,62.6,6.1,14,5,0.3,0.3,0,0,3.8,0.4,29.1,2.5
"2","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal","Panne",9,NA,NA,4.8,1.2,95.2,1.2,1.1,1.1,78,6.3,16.1,5.4,0,0,0,0,3.7,0.2,38.6,10.1
"3","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal","Panne",9,1.018,0.012,22.8,4.6,77.2,4.6,0,0,59.7,8.2,17.6,5.8,0,0,0,0,3.2,0.3,46.6,10.1
"4","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal","Panne",9,NA,NA,10.3,2.3,89.7,2.3,0,0,62.8,7.5,26.9,7.9,0,0,0,0,3.9,0.4,57.8,14.7
"5","Canonchet","","Canonchet","No Action","Canonchet - No Action",2022,2015,7,"Microtidal","Panne",9,0.416,0.019,54.2,14.7,45.8,14.7,27.2,12.1,18.6,12.4,0,0,0,0,0,0,0.9,0.4,11.7,3.7
"6","Canonchet","","Canonchet","No Action","Canonchet - No Action",2024,2015,9,"Microtidal","Panne",9,NA,NA,62.9,12.7,37.1,12.7,19.8,8.8,17.2,11.6,38.9,16.2,0.1,0.1,0,0,1.1,0.4,18.5,5.1
"7","Canonchet","","Canonchet","Reference","Canonchet - Reference",2022,2015,7,"Microtidal","Panne",9,0.453,0.018,14.2,5.2,85.8,5.2,17.1,5.1,65.9,8.7,2.7,1.7,0.1,0.1,0,0,3.9,0.4,24.9,1.7
"8","Canonchet","","Canonchet","Reference","Canonchet - Reference",2024,2015,9,"Microtidal","Panne",9,NA,NA,23,3.6,77,3.6,22,5.9,47.6,6.9,3.9,2.7,3.6,1.5,0,0,4,0.4,31.7,1.6
"9","Canonchet","","Canonchet","Runnel","Canonchet - Runnel",2022,2015,7,"Microtidal","Panne",8,0.428,0.008,29.5,7.7,70.5,7.7,30.4,10.2,30.8,12.6,9.4,6,0,0,0,0,2.8,0.5,19.6,1.6
"10","Canonchet","","Canonchet","Runnel","Canonchet - Runnel",2024,2015,9,"Microtidal","Panne",8,NA,NA,22.8,2.6,77.2,2.6,39.1,10.6,31.8,11.2,6.9,4.6,0.1,0.1,0,0,2.6,0.5,26.9,2.2
"11","Essex","North","Essex - North","No Action","Essex - North - No Action",2022,2022,0,"Mesotidal","Pool",4,1.488,0.036,28.2,2.9,71.8,2.9,53.8,6.9,18,6.8,0,0,0,0,0,0,2.2,0.5,26.2,2.2
"12","Essex","North","Essex - North","No Action","Essex - North - No Action",2024,2022,2,"Mesotidal","Pool",4,NA,NA,28.8,3.9,71.2,3.9,65.5,8.9,5.2,5.2,0,0,0.5,0.3,0,0,2,0.7,35,1.4
"13","Essex","North","Essex - North","Runnel","Essex - North - Runnel",2022,2022,0,"Mesotidal","Pool",9,1.512,0.024,46.9,10.1,53.1,10.1,49.2,9.4,3.8,1.7,11.2,11.1,0,0,0,0,2,0.4,20.3,3.7
"14","Essex","North","Essex - North","Runnel","Essex - North - Runnel",2024,2022,2,"Mesotidal","Pool",10,NA,NA,37.8,5.5,62.2,5.5,46.5,7.1,7.9,4.8,17.6,10.5,1.2,0.8,0.1,0.1,2.2,0.4,30.9,1.9
"15","Essex","South","Essex - South","No Action","Essex - South - No Action",2022,2022,0,"Mesotidal","Pool",8,1.463,0.029,34.5,11.6,65.5,11.6,3.4,1.5,56.1,13,12.2,7.8,0,0,0,0,2.8,0.6,14.4,1.6
"16","Essex","South","Essex - South","No Action","Essex - South - No Action",2024,2022,2,"Mesotidal","Pool",8,NA,NA,43,8.1,57,8.1,4.1,1.8,46.2,11.2,18.6,11.6,0.5,0.2,0.2,0.2,2.8,0.4,20.5,1.7
"17","Essex","South","Essex - South","Reference","Essex - South - Reference",2022,2022,0,"Mesotidal","Pool",9,1.407,0.02,12.9,1.2,87.1,1.2,1.8,1.7,85.3,2.2,0,0,0,0,0,0,2.2,0.4,16.4,1.2
"18","Essex","South","Essex - South","Reference","Essex - South - Reference",2024,2022,2,"Mesotidal","Pool",9,NA,NA,32.2,9.1,67.8,9.1,3.3,2.8,63.9,8.9,0,0,0.6,0.2,0,0,2.3,0.2,22.6,2.5
