"","Year","Year_0","Time_Since_Restoration","Salt_Marsh","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Transect","Plot_count","Elevation_mean","Elevation_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"1",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Mesotidal","Pool","T1",5,1.498,0.015,45.6,12.5,54.4,12.5,16,8.3,30.2,17.4,1,1,1.8,0.4,22,2.8
"2",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Mesotidal","Pool","T2",9,1.554,0.01,53.3,10.5,46.7,10.5,35,8.4,11.1,5.9,0,0,1.6,0.3,26.2,4.1
"3",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Mesotidal","Pool","T1",7,1.426,0.009,11.6,2.2,88.4,2.2,1.6,1.1,78.9,3.3,0,0,5,0.6,23.6,1.8
"4",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Mesotidal","Pool","T2",6,1.44,0.006,7.3,0.7,92.7,0.7,2.8,2.5,87.5,2.5,0,0,3.8,0.4,22.8,3.4
"5",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Runnel","Mesotidal","Pool","T1",8,1.244,0.071,26.8,10.9,73.2,10.9,30.2,8.3,23.1,9.3,4,2.6,3.1,0.7,31.8,7.7
"6",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Runnel","Mesotidal","Pool","T2",9,1.239,0.044,42.8,11.9,57.2,11.9,29.7,8.8,20.6,9.1,2.6,1.4,2.3,0.8,31.7,8.4
"7",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","No Action","Microtidal","Pool","T1",4,0.208,0.02,37.5,6.3,62.5,6.3,25,4.6,11.2,7.2,0,0,2.5,0.3,28.2,6.3
"8",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","No Action","Microtidal","Pool","T2",4,0.198,0.029,42.5,13.1,57.5,13.1,17.5,6.6,33.8,12.5,0,0,3,0.4,25.8,3
"9",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Reference","Microtidal","Pool","T1",4,0.274,0.017,21,2.9,79,2.9,3.8,2.4,69.2,5.8,0,0,4.5,1.3,25.2,1.5
"10",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Reference","Microtidal","Pool","T2",5,0.234,0.009,20.2,2.9,79.8,2.9,14,7.9,65.4,10.2,0,0,3.2,0.2,22.2,2.1
"11",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Runnel","Microtidal","Pool","T1",4,0.298,0.012,30,7.9,70,7.9,38.8,14.8,12,9,0,0,3.2,0.9,27.8,2.1
"12",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Runnel","Microtidal","Pool","T2",6,0.177,0.026,40.8,9.4,59.2,9.4,17.3,3,17.3,11,0,0,3.5,0.7,20.8,2.7
"13",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","No Action","Microtidal","Panne","T1",7,0.603,0.012,32,9,69.4,9.1,49.3,9.4,13.9,11.1,2.1,1.5,2.7,0.3,25.6,3
"14",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","No Action","Microtidal","Panne","T2",6,0.669,0.023,41.8,8.3,57.4,8.8,35.8,3.7,15.8,8.2,0.8,0.8,2.8,0.3,28.3,3.5
"15",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Reference","Microtidal","Panne","T1",5,0.684,0.028,3.6,1.2,96.4,1.2,2,1.3,94.2,2.4,0,0,2.8,0.4,15.8,5.7
"16",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Reference","Microtidal","Panne","T2",5,0.728,0.017,14.2,8.8,85.8,8.8,11,7.5,74.4,16.6,0,0,2.6,0.4,24.4,4.7
"17",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T1",4,0.618,0.016,37.5,7.6,62.5,7.6,20,2.9,39,8.6,2,1.2,3.8,0.2,25,1.5
"18",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T2",5,0.666,0.01,9.4,2.8,92.6,4,3,3,85.2,10.3,0,0,2.6,0.5,22.2,2.2
"19",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T3",6,0.652,0.011,43.5,8.8,56.5,8.8,30,8,24.2,14.6,0,0,2.5,0.6,27,4
"20",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","No Action","Mesotidal","Pool","T1",6,1.527,0.008,33.7,8.8,66.3,8.8,58.8,11.5,4.2,2.7,10,10,1.5,0.2,30.3,5.7
"21",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","No Action","Mesotidal","Pool","T2",6,1.533,0.017,44.3,16.7,55.7,16.7,0,0,50.8,15.1,18.7,13.2,2.2,0.6,23.7,6
