"","Time_Since_Restoration","Overall_Treatment","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"1",0,"No Action",1.263,28.4,47,53,23.2,1.6,1.8,19.4
"2",0,"Reference",1.359,7.5,13.6,86.4,76.2,0.1,3.2,21.9
"3",0,"Runnel",1.314,35.8,48.1,51.9,13.5,4.2,1.9,19.3
"4",2,"No Action",1.349,34,44.6,55.4,19.1,1.4,2,27.4
"5",2,"Reference",1.485,5.1,15.6,84.4,76.5,0,3.4,23.2
"6",2,"Runnel",1.366,40.7,40.4,59.6,16.6,1.6,2.1,31.9
"7",3,"No Action",0.122,24,54.3,45.7,21.7,26,1.7,24.3
"8",3,"Reference",0.246,24,17.7,82.3,57.8,0,2.3,26.9
"9",3,"Runnel",0.174,31.4,52.2,47.8,12.4,4.6,1.4,19.1
"10",4,"No Action",1.014,30.3,46,53.8,16.2,2.3,2.1,37.6
"11",4,"Reference",0.987,3.5,15.3,84.7,76.1,0.1,3.1,26.9
"12",4,"Runnel",0.918,32.9,32.1,67.9,27.2,2.5,2.5,35.2
"13",5,"No Action",0.788,20.6,48.1,51.9,31.3,0,2.1,37.4
"14",5,"Reference",1.316,2.2,8.7,91.3,75.5,0,3.7,20.9
"15",5,"Runnel",1.304,27.7,22.3,77.7,46.9,0,2.8,41.2
"16",6,"No Action",0.886,26.7,50.6,49.4,20,5.2,1.4,18.2
"17",6,"Reference",1.08,15.5,15.6,84.4,67.6,0,2.4,23.8
"18",6,"Runnel",0.868,36.1,37.8,62.2,22.4,3.5,2.1,28.3
"19",7,"No Action",0.544,34.5,45.8,54.3,15.9,6,2.1,25.4
"20",7,"Reference",0.586,7.9,14.4,85.6,72.8,0.2,3.3,25.7
"21",7,"Runnel",0.571,24.2,31,69.2,36.4,4.2,3.4,36.5
"22",8,"No Action",0.203,28.9,48.8,51.2,18.1,0,1.8,26.2
"23",8,"Reference",0.252,7.7,17.8,82.2,63.4,0,3.3,21.9
"24",8,"Runnel",0.226,24.4,31.1,68.9,38.4,0.1,2.6,32.6
"25",9,"No Action",NA,23.8,45.5,54.5,27.9,3.8,1.8,21
"26",9,"Reference",NA,8.4,12.8,87.2,75.7,0,3,23.4
"27",9,"Runnel",NA,39.8,27.7,72.3,27.8,0.9,2.5,42.5
"28",10,"No Action",1.534,29,48.4,51.6,20.9,0.4,1.8,25
"29",10,"Reference",1.432,7.4,8.7,91.3,80.9,0,3.4,33.4
"30",10,"Runnel",1.241,30.8,29.5,70.5,32.5,1.7,2.7,32.6
"31",11,"No Action",NA,35.6,32,68,24.5,3.8,2.9,33.6
"32",11,"Reference",NA,12.1,31.6,68.4,54.1,0,3.7,22.9
"33",11,"Runnel",NA,20.8,50.4,49.6,21.1,7,2.4,23.8
"34",13,"No Action",NA,19.2,60.1,39.9,15.3,0.2,1.9,22
"35",13,"Reference",NA,5.9,20.5,79.5,68.8,0,3.8,27
"36",13,"Runnel",NA,18.9,44.5,55.5,24,8.9,3.2,25.4
