"","Salt_Marsh","Site_Treatment","Season","Year_0","Time_Since_Restoration","Site","Sub_Site","Site_Treatment_ID","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"1","Ogunquit Marsh","No Action",2021,2011,10,"Moody Marsh","","Moody Marsh - No Action","Maine","No Action","Mesotidal","Pool",1.534,28.2,50.6,49.4,17.9,0.4,1.6,24.9
"2","Ogunquit Marsh","Reference",2021,2011,10,"Moody Marsh","","Moody Marsh - Reference","Maine","Reference","Mesotidal","Pool",1.432,2.2,9.6,90.4,82.8,0,4.5,23.2
"3","Ogunquit Marsh","Runnel",2021,2011,10,"Moody Marsh","","Moody Marsh - Runnel","Maine","Runnel","Mesotidal","Pool",1.241,29.9,35.2,64.8,21.8,3.2,2.7,31.7
"4","Salt Ponds Region","No Action",2021,2013,8,"Winnapaug","","Winnapaug - No Action","Rhode Island","No Action","Microtidal","Pool",0.203,21.2,40,60,22.5,0,2.8,27
"5","Salt Ponds Region","Reference",2021,2013,8,"Winnapaug","","Winnapaug - Reference","Rhode Island","Reference","Microtidal","Pool",0.252,9.4,20.6,79.4,67.1,0,3.8,23.6
"6","Salt Ponds Region","Runnel",2021,2013,8,"Winnapaug","","Winnapaug - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.226,25.9,36.5,63.5,15.2,0,3.4,23.6
"7","Narragansett Bay","No Action",2021,2014,7,"Round Marsh","","Round Marsh - No Action","Rhode Island","No Action","Microtidal","Panne",0.633,43.1,36.5,63.9,14.7,1.5,2.8,26.8
"8","Narragansett Bay","Reference",2021,2014,7,"Round Marsh","","Round Marsh - Reference","Rhode Island","Reference","Microtidal","Panne",0.706,6.5,8.9,91.1,84.3,0,2.7,20.1
"9","Narragansett Bay","Runnel",2021,2014,7,"Round Marsh","","Round Marsh - Runnel","Rhode Island","Runnel","Microtidal","Panne",0.648,18.3,30.5,70.1,48.5,0.5,2.9,24.9
"10","Parker River Estuary","No Action",2021,2015,6,"Pine Island","North","Pine Island - No Action","Massachusetts","No Action","Mesotidal","Pool",1.53,29.4,39,61,27.5,14.3,1.8,27
"11","Parker River Estuary","North Reference",2021,2015,6,"Pine Island","North","Pine Island - North Reference","Massachusetts","Reference","Mesotidal","Pool",1.523,0.2,7.5,92.5,91.7,0,2.5,18.2
"12","Parker River Estuary","North Runnel",2021,2015,6,"Pine Island","North","Pine Island - North Runnel","Massachusetts","Runnel","Mesotidal","Pool",1.465,11.9,24.9,75.1,56.1,9.4,2.8,21.2
"13","Parker River Estuary","South Reference",2021,2015,6,"Pine Island","South","Pine Island - South Reference","Massachusetts","Reference","Mesotidal","Pool",1.493,5.3,13.8,86.2,80.3,0,2.2,16.6
"14","Parker River Estuary","South Runnel",2021,2015,6,"Pine Island","South","Pine Island - South Runnel","Massachusetts","Runnel","Mesotidal","Pool",1.221,41,56,44,2.1,11.4,1.3,51.4
"15","Narragansett Bay","No Action",2021,2016,5,"Jacobs Point","","Jacobs Point - No Action","Rhode Island","No Action","Microtidal","Panne",0.788,20.6,48.1,51.9,31.3,0,2.1,37.4
"16","Narragansett Bay","Reference",2021,2016,5,"Jacobs Point","","Jacobs Point - Reference","Rhode Island","Reference","Microtidal","Panne",0.82,1.4,15,85,83,0,2.4,22.6
"17","Narragansett Bay","Runnel",2021,2016,5,"Jacobs Point","","Jacobs Point - Runnel","Rhode Island","Runnel","Microtidal","Panne",0.873,3,5.9,94.1,83.6,0,3.4,25
"18","Parker River Estuary","North Reference",2021,2016,5,"Plum Island - DPR","North","Plum Island - DPR - North Reference","Massachusetts","Reference","Mesotidal","Panne",1.495,2.5,6.4,93.6,72.8,0,4.1,20.2
"19","Parker River Estuary","North Runnel",2021,2016,5,"Plum Island - DPR","North","Plum Island - DPR - North Runnel","Massachusetts","Runnel","Mesotidal","Panne",1.507,39.3,30,70,29.6,0,2.5,48.8
"20","Parker River Estuary","South No Action",2021,2017,4,"Plum Island - DPR","South","Plum Island - DPR - South No Action","Massachusetts","No Action","Mesotidal","Panne",1.494,40.4,36,64,19.4,3,2.2,37.3
"21","Parker River Estuary","South Reference",2021,2017,4,"Plum Island - DPR","South","Plum Island - DPR - South Reference","Massachusetts","Reference","Mesotidal","Panne",1.501,3.2,8.6,91.4,85.2,0,2.5,22.6
"22","Parker River Estuary","South Runnel",2021,2017,4,"Plum Island - DPR","South","Plum Island - DPR - South Runnel","Massachusetts","Runnel","Mesotidal","Panne",1.528,38.2,22.2,77.8,21.6,0.9,3.1,48.2
"23","Salt Ponds Region","No Action",2021,2017,4,"Weekapaug","","Weekapaug - No Action","Rhode Island","No Action","Microtidal","Pool",0.175,11.9,63.1,36.2,21.9,4.4,2.1,25.5
"24","Salt Ponds Region","Reference",2021,2017,4,"Weekapaug","","Weekapaug - Reference","Rhode Island","Reference","Microtidal","Pool",0.245,8.8,28.1,71.9,58,0.6,3.6,27.8
"25","Salt Ponds Region","Runnel",2021,2017,4,"Weekapaug","","Weekapaug - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.199,38.2,50.7,49.3,10.2,14.2,1.8,22.8
"26","Taunton River","Reference",2021,2017,4,"Broad Cove","","Broad Cove - Reference","Rhode Island","Reference","Microtidal","Panne",1.007,0.6,22.6,77.4,62.6,0,3.8,29.1
"27","Taunton River","Runnel",2021,2017,4,"Broad Cove","","Broad Cove - Runnel","Rhode Island","Runnel","Microtidal","Panne",1.018,0,22.8,77.2,59.7,0,3.2,46.6
"28","Salt Ponds Region","No Action",2021,2018,3,"Potters Pond","","Potters Pond - No Action","Rhode Island","No Action","Microtidal","Pool",0.122,24,54.3,45.7,21.7,26,1.7,24.3
"29","Salt Ponds Region","Reference",2021,2018,3,"Potters Pond","","Potters Pond - Reference","Rhode Island","Reference","Microtidal","Pool",0.246,24,17.7,82.3,57.8,0,2.3,26.9
"30","Salt Ponds Region","Runnel",2021,2018,3,"Potters Pond","","Potters Pond - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.174,31.4,52.2,47.8,12.4,4.6,1.4,19.1
"31","Narrow River Estuary","No Action",2022,2015,7,"Canonchet","","Canonchet - No Action","Rhode Island","No Action","Microtidal","Panne",0.416,27.2,54.2,45.8,18.6,0,0.9,11.7
"32","Narrow River Estuary","Reference",2022,2015,7,"Canonchet","","Canonchet - Reference","Rhode Island","Reference","Microtidal","Panne",0.453,17.1,14.2,85.8,65.9,0,3.9,24.9
"33","Narrow River Estuary","Runnel",2022,2015,7,"Canonchet","","Canonchet - Runnel","Rhode Island","Runnel","Microtidal","Panne",0.428,30.4,29.5,70.5,30.8,0,2.8,19.6
"34","Narrow River Estuary","No Action",2022,2016,6,"Middlebridge","","Middlebridge - No Action","Rhode Island","No Action","Microtidal","Pool",0.454,25.1,66,34,6.6,0,1.1,10.5
"35","Narrow River Estuary","Reference",2022,2016,6,"Middlebridge","","Middlebridge - Reference","Rhode Island","Reference","Microtidal","Pool",0.427,18.1,23.9,76.1,56.6,0,2.6,26.7
"36","Narrow River Estuary","Runnel",2022,2016,6,"Middlebridge","","Middlebridge - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.308,47.9,22.9,77.1,28.1,0,2.1,21.6
"37","Narrow River Estuary","No Action",2022,2016,6,"Narrow River","","Narrow River - No Action","Rhode Island","No Action","Microtidal","Pool",0.508,26.7,45.4,54.6,26.7,0,1.2,14.9
"38","Narrow River Estuary","Reference",2022,2016,6,"Narrow River","","Narrow River - Reference","Rhode Island","Reference","Microtidal","Pool",0.442,42.6,13.1,86.9,44.2,0,1.4,22
"39","Narrow River Estuary","Runnel",2022,2016,6,"Narrow River","","Narrow River - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.467,38.4,28.9,71.1,29,0,2.3,20
"40","Narragansett Bay","Reference",2022,2018,4,"Sapowet","North","Sapowet - Reference","Rhode Island","Reference","Microtidal","Pool",0.615,3.8,16.5,83.5,77.9,0,2.4,24.8
"41","Narragansett Bay","Runnel",2022,2018,4,"Sapowet","North","Sapowet - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.626,13.7,51,49,31.9,0,1.9,18.4
"42","Parker River Estuary","No Action",2022,2020,2,"Old Town Hill","","Old Town Hill - No Action","Massachusetts","No Action","Mesotidal","Panne",1.349,31.1,52.9,47.1,9.9,2.4,2,26.7
"43","Parker River Estuary","Reference",2022,2020,2,"Old Town Hill","","Old Town Hill - Reference","Massachusetts","Reference","Mesotidal","Panne",1.485,5,14,86,79.8,0,3.8,26.5
"44","Parker River Estuary","Runnel",2022,2020,2,"Old Town Hill","","Old Town Hill - Runnel","Massachusetts","Runnel","Mesotidal","Panne",1.366,48.5,31.5,68.5,19.8,1.3,2,28.7
"45","Great Marsh","North No Action",2022,2022,0,"Essex","North","Essex - North No Action","Massachusetts","No Action","Mesotidal","Pool",1.488,53.8,28.2,71.8,18,0,2.2,26.2
"46","Great Marsh","North Runnel",2022,2022,0,"Essex","North","Essex - North Runnel","Massachusetts","Runnel","Mesotidal","Pool",1.512,49.2,46.9,53.1,3.8,0,2,20.3
"47","Great Marsh","Reference",2022,2022,0,"Essex","South","Essex - Reference","Massachusetts","Reference","Mesotidal","Pool",1.407,1.8,12.9,87.1,85.3,0,2.2,16.4
"48","Great Marsh","South No Action",2022,2022,0,"Essex","South","Essex - South No Action","Massachusetts","No Action","Mesotidal","Pool",1.463,3.4,34.5,65.5,56.1,0,2.8,14.4
