"","Site","Sub_Site","Site_SubSite","Overall_Treatment","Site_Treatment","Year","Year_0","Time_Since_Restoration","Tidal_Regime","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","other_mean","salicornia_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"1","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2021,2017,4,"Microtidal",1.007,0.6,22.6,77.4,62.6,14,0.3,0,3.8,29.1
"2","Broad Cove","","Broad Cove","Reference","Broad Cove - Reference",2024,2017,7,"Microtidal",NA,1.1,4.8,95.2,78,16.1,0,0,3.7,38.6
"3","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2021,2017,4,"Microtidal",1.018,0,22.8,77.2,59.7,17.6,0,0,3.2,46.6
"4","Broad Cove","","Broad Cove","Runnel","Broad Cove - Runnel",2024,2017,7,"Microtidal",NA,0,10.3,89.7,62.8,26.9,0,0,3.9,57.8
"5","Canonchet","","Canonchet","No Action","Canonchet - No Action",2022,2015,7,"Microtidal",0.416,27.2,54.2,45.8,18.6,0,0,0,0.9,11.7
"6","Canonchet","","Canonchet","No Action","Canonchet - No Action",2024,2015,9,"Microtidal",NA,19.8,62.9,37.1,17.2,38.9,0.1,0,1.1,18.5
"7","Canonchet","","Canonchet","Reference","Canonchet - Reference",2022,2015,7,"Microtidal",0.453,17.1,14.2,85.8,65.9,2.7,0.1,0,3.9,24.9
"8","Canonchet","","Canonchet","Reference","Canonchet - Reference",2024,2015,9,"Microtidal",NA,22,23,77,47.6,3.9,3.6,0,4,31.7
"9","Canonchet","","Canonchet","Runnel","Canonchet - Runnel",2022,2015,7,"Microtidal",0.428,30.4,29.5,70.5,30.8,9.4,0,0,2.8,19.6
"10","Canonchet","","Canonchet","Runnel","Canonchet - Runnel",2024,2015,9,"Microtidal",NA,39.1,22.8,77.2,31.8,6.9,0.1,0,2.6,26.9
"11","Essex","North","Essex - North","No Action","Essex - North - No Action",2022,2022,0,"Mesotidal",1.488,53.8,28.2,71.8,18,0,0,0,2.2,26.2
"12","Essex","North","Essex - North","No Action","Essex - North - No Action",2024,2022,2,"Mesotidal",NA,65.5,28.8,71.2,5.2,0,0.5,0,2,35
"13","Essex","North","Essex - North","Runnel","Essex - North - Runnel",2022,2022,0,"Mesotidal",1.512,49.2,46.9,53.1,3.8,11.2,0,0,2,20.3
"14","Essex","North","Essex - North","Runnel","Essex - North - Runnel",2024,2022,2,"Mesotidal",NA,46.5,37.8,62.2,7.9,17.6,1.2,0.1,2.2,30.9
"15","Essex","South","Essex - South","No Action","Essex - South - No Action",2022,2022,0,"Mesotidal",1.463,3.4,34.5,65.5,56.1,12.2,0,0,2.8,14.4
"16","Essex","South","Essex - South","No Action","Essex - South - No Action",2024,2022,2,"Mesotidal",NA,4.1,43,57,46.2,18.6,0.5,0.2,2.8,20.5
"17","Essex","South","Essex - South","Reference","Essex - South - Reference",2022,2022,0,"Mesotidal",1.407,1.8,12.9,87.1,85.3,0,0,0,2.2,16.4
"18","Essex","South","Essex - South","Reference","Essex - South - Reference",2024,2022,2,"Mesotidal",NA,3.3,32.2,67.8,63.9,0,0.6,0,2.3,22.6
"19","Essex","South","Essex - South","Runnel","Essex - South - Runnel",2022,2022,0,"Mesotidal",1.234,32,28.2,71.8,38.8,1,0,1.4,2.2,22.6
"20","Essex","South","Essex - South","Runnel","Essex - South - Runnel",2024,2022,2,"Mesotidal",NA,55,30.6,69.4,11.2,5,0.2,1.4,3,53.6
"21","Ipswich","","Ipswich","No Action","Ipswich - No Action",2022,2022,0,"Mesotidal",1.257,26.2,54.2,45.8,18.9,22.5,0.7,1.2,1.8,15.2
"22","Ipswich","","Ipswich","No Action","Ipswich - No Action",2024,2022,2,"Mesotidal",NA,29.8,51.8,48.2,17.6,23.1,0.6,3.2,1.9,18.8
"23","Ipswich","","Ipswich","Reference","Ipswich - Reference",2022,2022,0,"Mesotidal",1.203,18.2,17.9,82.1,62.8,0.2,0.9,0.7,3.6,20
"24","Ipswich","","Ipswich","Reference","Ipswich - Reference",2024,2022,2,"Mesotidal",NA,6.9,12.3,87.7,79.9,0,0.9,0,3.2,20.7
"25","Ipswich","","Ipswich","Runnel","Ipswich - Runnel",2022,2022,0,"Mesotidal",1.327,27.1,60.6,39.4,9,28.3,3.3,10.4,1.6,11.8
"26","Ipswich","","Ipswich","Runnel","Ipswich - Runnel",2024,2022,2,"Mesotidal",NA,35.8,57.6,42.4,5.8,34.2,0.8,2.5,1.9,20.3
"27","Jacobs Point","","Jacobs Point","No Action","Jacobs Point - No Action",2021,2016,5,"Microtidal",0.788,20.6,48.1,51.9,31.3,9.2,0,0,2.1,37.4
"28","Jacobs Point","","Jacobs Point","No Action","Jacobs Point - No Action",2024,2016,8,"Microtidal",NA,43.1,33.3,66.7,23.3,20,0.2,0,2,41.2
"29","Jacobs Point","","Jacobs Point","Reference","Jacobs Point - Reference",2021,2016,5,"Microtidal",0.82,1.4,15,85,83,3.9,0,0,2.4,22.6
"30","Jacobs Point","","Jacobs Point","Reference","Jacobs Point - Reference",2024,2016,8,"Microtidal",NA,0.6,24.9,75.1,73.7,8.2,0.4,0,2.9,27.1
"31","Jacobs Point","","Jacobs Point","Runnel","Jacobs Point - Runnel",2021,2016,5,"Microtidal",0.873,3,5.9,94.1,83.6,7.4,0.1,0,3.4,25
"32","Jacobs Point","","Jacobs Point","Runnel","Jacobs Point - Runnel",2024,2016,8,"Microtidal",NA,5.4,25.2,74.8,63.5,9.5,0.1,0,2.6,43.2
"33","Kents Island","","Kents Island","No Action","Kents Island - No Action",2022,2022,0,"Mesotidal",1.42,30.3,58.5,41.5,9.9,0,1.3,0,1.7,20.1
"34","Kents Island","","Kents Island","No Action","Kents Island - No Action",2024,2022,2,"Mesotidal",NA,49.5,40.3,59.7,9.5,26.5,0.7,0,1.6,29.9
"35","Kents Island","","Kents Island","Reference","Kents Island - Reference",2022,2022,0,"Mesotidal",1.284,5.6,6.5,93.5,84,1.5,2.4,0,3.5,23.7
"36","Kents Island","","Kents Island","Reference","Kents Island - Reference",2024,2022,2,"Mesotidal",NA,6.6,9.3,90.7,79.8,2.7,1.5,0,3.5,23.5
"37","Kents Island","","Kents Island","Runnel","Kents Island - Runnel",2022,2022,0,"Mesotidal",1.365,36.1,46.2,53.8,15,4.9,2,7.6,2,23
"38","Kents Island","","Kents Island","Runnel","Kents Island - Runnel",2024,2022,2,"Mesotidal",NA,45.5,34,66,18.7,0.8,1.7,0.3,2.2,35.1
"39","Middlebridge","","Middlebridge","No Action","Middlebridge - No Action",2022,2016,6,"Microtidal",0.454,25.1,66,34,6.6,0,2.3,0,1.1,10.5
"40","Middlebridge","","Middlebridge","No Action","Middlebridge - No Action",2024,2016,8,"Microtidal",NA,24.8,65.7,34.3,7.2,40,2.3,0,1.3,14.4
"41","Middlebridge","","Middlebridge","Reference","Middlebridge - Reference",2022,2016,6,"Microtidal",0.427,18.1,23.9,76.1,56.6,0,1.4,0,2.6,26.7
"42","Middlebridge","","Middlebridge","Reference","Middlebridge - Reference",2024,2016,8,"Microtidal",NA,14.6,15,85,68.7,0,1.7,0,2.9,27.9
"43","Middlebridge","","Middlebridge","Runnel","Middlebridge - Runnel",2022,2016,6,"Microtidal",0.308,47.9,22.9,77.1,28.1,0,1.1,0,2.1,21.6
"44","Middlebridge","","Middlebridge","Runnel","Middlebridge - Runnel",2024,2016,8,"Microtidal",NA,28,42.8,57.2,29.2,0,0,0,1.3,21.1
"45","Moody Marsh","","Moody Marsh","No Action","Moody Marsh - No Action",2021,2011,10,"Mesotidal",1.534,28.2,50.6,49.4,17.9,71.4,0.4,0.4,1.6,24.9
"46","Moody Marsh","","Moody Marsh","No Action","Moody Marsh - No Action",2024,2011,13,"Mesotidal",NA,19.2,60.1,39.9,15.3,52.1,0.1,0.2,1.9,22
