"","Time_Since_Restoration","Overall_Treatment","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","other_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"1",0,"No Action",30.2,43.3,56.7,25.1,8.2,1.5,1.9,20
"2",0,"Reference",7.4,13.7,86.3,76.2,2.7,0.1,3.1,21.8
"3",0,"Runnel",35.3,46.8,53.2,15.5,12.8,3,1.9,18.9
"4",2,"No Action",34.9,43,57,19.6,25.9,1.2,2,28.1
"5",2,"Reference",5,16,84,76.1,4.2,0,3.4,23.2
"6",2,"Runnel",38.1,42.7,57.3,16.4,21.7,2,2.2,32.8
"7",3,"No Action",24,54.3,45.7,21.7,0,26,1.7,24.3
"8",3,"Reference",24,17.7,82.3,57.8,2.2,0,2.3,26.9
"9",3,"Runnel",31.4,52.2,47.8,12.4,9.3,4.6,1.4,19.1
"10",4,"No Action",27.8,48.5,51.3,16.5,40.1,2.5,2,37.6
"11",4,"Reference",3.8,17.2,82.8,73.6,5.4,0.1,3.2,27.3
"12",4,"Runnel",27,34.7,65.3,29.9,10.3,3,2.5,34.1
"13",5,"No Action",20.6,48.1,51.9,31.3,9.2,0,2.1,37.4
"14",5,"Reference",2,10.7,89.3,77.9,11.4,0,3.2,21.4
"15",5,"Runnel",21.1,18,82,56.6,10.4,0,3,36.9
"16",6,"No Action",25.7,53,47,19,14.8,4,1.4,17.8
"17",6,"Reference",17,16.6,83.4,65.1,1.3,0,2.4,24.7
"18",6,"Runnel",36,35.2,64.8,25.2,8.4,3.7,2.2,27.8
"19",7,"No Action",32.1,47.9,52.2,16.4,22.1,6.6,2,24.4
"20",7,"Reference",8.3,14.3,85.7,71.9,5.5,0.3,3.5,26.4
"21",7,"Runnel",23.2,30,70.1,37.1,11.6,4.2,3.3,36.1
"22",8,"No Action",27.6,49.3,50.7,18.1,24.3,0,1.8,25.2
"23",8,"Reference",10.1,21.7,78.3,62.1,7.6,0,3.1,23.8
"24",8,"Runnel",23.7,31.7,68.3,37.8,10.7,0,2.6,31.3
"25",9,"No Action",23.3,47.7,52.3,26.5,26,3.4,1.7,20.6
"26",9,"Reference",9.7,13.8,86.2,73,3.5,0,3.1,24.1
"27",9,"Runnel",38.4,27.3,72.7,29.5,6.1,0.9,2.5,40.6
"28",10,"No Action",29,48.3,51.7,21,36.1,0.4,1.8,25
"29",10,"Reference",8.2,8.5,91.5,80.6,2.7,0,3.3,34.9
"30",10,"Runnel",30.8,29,70.9,33.2,6.9,1.6,2.7,32.6
"31",11,"No Action",35.6,32,68,24.5,19.1,3.8,2.9,33.6
"32",11,"Reference",12.1,31.6,68.4,54.1,2.2,0,3.7,22.9
"33",11,"Runnel",20.8,50.4,49.6,21.1,24.7,7,2.4,23.8
"34",13,"No Action",19.2,60.1,39.9,15.3,52.2,0.2,1.9,22
"35",13,"Reference",5.9,20.5,79.5,68.8,6.3,0,3.8,27
"36",13,"Runnel",18.9,44.5,55.5,24,12.6,8.9,3.2,25.4
