Site,Sub_Site,State,Treatment_Name,Overall_Treatment,WLR Name,Year,Year_0,Time_Since_Restoration,Creek,Spring_Tide_Adjustment_cm,Elevation_NAVD88m,Platform_Flood_Duration,Platform_HT_Frequency,Platform_Drainage_Depth_m,Root_Flood_Duration,Root_HT_Frequency,Root_Drainage_Depth_m,Drainage_Amplitude_m,Include_Analysis,Tidal_Range,Lingering Questions,Analysis Notes
Broad Cove,,MA,Runnel,Runnel,RUN,2021,2017,4,Creek,-0.022,1.018,41.4,31.6,0.047,58.6,40.4,-0.003,0.126,Yes,Microtidal,Standing water for 5 - 6 days during spring tides? Broad Cove is a very well-drained system…, Maybe the cap was missing? Is water sitting in pipe? Remove the rainy days
Broad Cove,,MA,Runnel,Runnel,RUN,2024,2017,7,Creek,-0.036,1.018,9.6,12.1,0.144,30.5,19,0.094,0.132,Yes,Microtidal,,
Broad Cove,,MA,Reference,Reference,REF,2021,2017,4,Creek,WLR Malfunction,1.007,,,,,,,,No,Microtidal,,
Broad Cove,,MA,Reference,Reference,REF,2024,2017,7,Creek,-0.027,1.007,2,13.8,0.215,29.7,22.4,0.165,0.227,Yes,Microtidal,,
Canonchet,,RI,Runnel,Runnel,RUN,2022,2015,7,Creek,0.002,0.428,44.3,57.9,0.064,53.7,71.9,0.014,0.124,Yes,Microtidal,Standing water for 10 days during spring tides. Not sure if runnel is functioning properly?,Double-check for notes upon messing with
Canonchet,,RI,Runnel,Runnel,RUN,2024,2015,9,Creek,0.03,0.428,6.9,43.1,0.103,43.5,51.7,0.053,0.139,Yes,Microtidal,,
Canonchet,,RI,Reference,Reference,REF,2022,2015,7,Creek,0.038,0.453,21.1,45.6,0.084,53.5,64.9,0.034,0.147,Yes,Microtidal,,
Canonchet,,RI,Reference,Reference,REF,2024,2015,9,Creek,0.026,0.453,11.2,32.8,0.114,46,51.7,0.064,0.2,Yes,Microtidal,,
Canonchet,,RI,No Action,No Action,NAC,2022,2015,7,Creek,-0.031,0.416,100,61.4,-0.09,100,75.4,-0.14,0.061,Yes,Microtidal,A standing pool the entire time? 10 - 15 cm pool depth the entire time. WLR is set next to a pool!,
Canonchet,,RI,No Action,No Action,NAC,2024,2015,9,Creek,0.017,0.416,99.4,44.8,-0.055,100,55.2,-0.105,0.058,Yes,Microtidal,A standing pool the entire time? 10 - 15 cm pool depth the entire time. WLR is set next to a pool!,
Jacobs Point,,RI,Runnel,Runnel,RUN,2021,2016,5,Creek,0.007,0.873,11.1,42.1,0.074,31.6,54.4,0.024,0.027,Yes,Microtidal,,
Jacobs Point,,RI,Runnel,Runnel,RUN,2024,2016,8,Creek,-0.005,0.873,2.6,24.1,0.088,34.5,41.4,0.038,0.089,Yes,Microtidal,,
Jacobs Point,,RI,Reference,Reference,REF,2021,2016,5,Creek,0.009,0.82,8.9,56.1,0.036,84,63.2,-0.014,0.096,Yes,Microtidal,,
