Date,Year,Year_0,Time_Since_Restoration,State,Salt_Marsh,Site,Sub_Site,Overall_Treatment,Tidal_Regime,Marsh_Condition,Marsh_Condition_plot,Transect,Distance_m,Habitat,Impacted,Elevation,Transect_ID,Plot_ID,Local_Tideshed_ID,Study_Tideshed_ID,Plot_Notes,TOTAL,MUD,DEAD,WATER,WRACK,DITCH_FILL,ALGAL_MAT,GREEN_ALG,VAUCH,ASCO,SPALT,SPPAT,DISPI,JUGER,SADEP,AGMAR,AMCAN,ARANS,ATPAT,BAHAL,BOMAR,BOROB,CHRUB,ELROS,FERUB,IVFRU,JUBAL,LYNAS,LYMAR,MYPEN,PAVIR,PHAUS,PLMAR,PLODO,PORAM,PUMAR,RUMAR,SABIG,SOSEM,SPCAE,SPPEC,SPMAR,SULIN,SUMAR,SYSUB,SYTEN,TECAN,TRMAR,AGSTO,AMCANA,ASTER,CASEP,CAHOR,CUSCUTA,DICLA,ELPAL,ELREP,ELVIR,EUGRA,HIODO,JUVIR,LACTUCA,LYSAL,MEAQU,PACLA,PAQUI,SACAN,SCAME,SCPUN,SOLIDAGO,SYNOV,TORAD,TYANG,TYLAT,UNK,Canopy_Height_cm,Thatch_cm
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,-0.5,,No,0.959,Broad Cove Runnel 1,Broad Cove__2021_Runnel_-0.5,Broad Cove_3,6,creek,100,15,10,,,,,,,,,,35,25,,,,,,,,0,,,,15,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,21,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,0,,Yes,0.969,Broad Cove Runnel 1,Broad Cove__2021_Runnel_0,Broad Cove_3,6,west stake,100,5,40,,,,,,,,,,25,15,,,,,,,,0,,,,15,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,24,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,10,,Yes,1.009,Broad Cove Runnel 1,Broad Cove__2021_Runnel_10,Broad Cove_3,6,,100,,35,,,,,,,,,10,5,,,,,,,,,0,,,,45,,,0,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,122,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,11.8,,No,,Broad Cove Runnel 1,Broad Cove__2021_Runnel_11.8,Broad Cove_3,6,Runnel?,100,,20,,,,,,,,,15,25,,,,,,,,,0,,,,25,,,0,,,,,,,,,,15,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,57,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,20,,Yes,1.009,Broad Cove Runnel 1,Broad Cove__2021_Runnel_20,Broad Cove_3,6,,100,2,13,,,,,,,,,,25,35,,,,,,,,0,,,,5,,,0,,,,,,,,,,,20,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,48,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,30,,Yes,1.029,Broad Cove Runnel 1,Broad Cove__2021_Runnel_30,Broad Cove_3,6,,100,,40,,,,,,,,,5,40,,,,,,,,,0,,,,,,,0,,,,,,,,,,,15,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,33,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,40,,Yes,1.039,Broad Cove Runnel 1,Broad Cove__2021_Runnel_40,Broad Cove_3,6,,100,,10,,,,,,,,,55,25,,,,,,,,,0,,,5,,,,0,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,36,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,50,,No,1.119,Broad Cove Runnel 1,Broad Cove__2021_Runnel_50,Broad Cove_3,6,east stake,100,,10,,,,,,,,,,20,,,,,,,,,0,,,,,,35,0,,,,,,,,,,,,19,,,,,,,,,,,1,,,,,,,0,,,,,,,10,5,,0,,,,,,,107,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,-0.5,,No,,Broad Cove Runnel 2,Broad Cove__2021_Runnel_-0.5,Broad Cove_7,8,creek,100,,10,,,,,,,,,39,10,,,,,,,,,0,,,,40,,,0,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,73,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,0,,Yes,0.969,Broad Cove Runnel 2,Broad Cove__2021_Runnel_0,Broad Cove_7,8,east stake,100,,20,,,,,,,,,62,15,,,,,,1,,,0,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,20,
