Salt_Marsh,Site_Treatment,Season,Year_0,Time_Since_Restoration,Site,Sub_Site,Reference,No_Action,State,Overall_Treatment,Tidal_Regime,Marsh_Condition,Elevation_mean,SPALT_mean,abiotic_cover_mean,live_cover_mean,high_marsh_grams_mean,algae_cover_mean,richness_mean,Canopyo_Height_cm_mean,Thatch_cm_mean
Taunton River,Reference,2021,2017,4,Broad Cove,,,,Rhode Island,Reference,Microtidal,Panne,1.007,0.6,22.6,77.4,62.6,0,3.8,29.1,NA
Taunton River,Reference,2024,2017,7,Broad Cove,,,,Rhode Island,Reference,Microtidal,Panne,NA,1.1,4.8,95.2,78,0,3.7,38.6,1.2
Taunton River,Runnel,2021,2017,4,Broad Cove,,Broad Cove Reference,Jacobs Point No Action,Rhode Island,Runnel,Microtidal,Panne,1.018,0,22.8,77.2,59.7,0,3.2,46.6,NA
Taunton River,Runnel,2024,2017,7,Broad Cove,,Broad Cove Reference,Jacobs Point No Action,Rhode Island,Runnel,Microtidal,Panne,NA,0,10.3,89.7,62.8,0,3.9,57.8,4.8
Narrow River Estuary,No Action,2022,2015,7,Canonchet,,,,Rhode Island,No Action,Microtidal,Panne,0.416,27.2,54.2,45.8,18.6,0,0.9,11.7,2.6
Narrow River Estuary,No Action,2024,2015,9,Canonchet,,,,Rhode Island,No Action,Microtidal,Panne,NA,19.8,62.9,37.1,17.2,0,1.1,18.5,2.4
Narrow River Estuary,Reference,2022,2015,7,Canonchet,,,,Rhode Island,Reference,Microtidal,Panne,0.453,17.1,14.2,85.8,65.9,0,3.9,24.9,5.8
Narrow River Estuary,Reference,2024,2015,9,Canonchet,,,,Rhode Island,Reference,Microtidal,Panne,NA,22,23,77,47.6,0,4,31.7,3.9
Narrow River Estuary,Runnel,2022,2015,7,Canonchet,,Canonchet Reference,Canonchet No Action,Rhode Island,Runnel,Microtidal,Panne,0.428,30.4,29.5,70.5,30.8,0,2.8,19.6,2.6
Narrow River Estuary,Runnel,2024,2015,9,Canonchet,,Canonchet Reference,Canonchet No Action,Rhode Island,Runnel,Microtidal,Panne,NA,39.1,22.8,77.2,31.8,0,2.6,26.9,2.9
Great Marsh,South No Action,2022,2022,0,Essex,Site 1,,,Massachusetts,No Action,Mesotidal,Pool,1.463,3.4,34.5,65.5,56.1,0,2.8,14.4,3.5
Great Marsh,North No Action,2022,2022,0,Essex,Site 2,,,Massachusetts,No Action,Mesotidal,Pool,1.488,53.8,28.2,71.8,18,0,2.2,26.2,2
Great Marsh,South No Action,2024,2022,2,Essex,Site 1,,,Massachusetts,No Action,Mesotidal,Pool,NA,4.1,43,57,46.2,0.2,2.8,20.5,3
Great Marsh,North No Action,2024,2022,2,Essex,Site 2,,,Massachusetts,No Action,Mesotidal,Pool,NA,65.5,28.8,71.2,5.2,0,2,35,0
Great Marsh,Reference,2022,2022,0,Essex,,,,Massachusetts,Reference,Mesotidal,Pool,1.407,1.8,12.9,87.1,85.3,0,2.2,16.4,4.6
Great Marsh,Reference,2024,2022,2,Essex,,,,Massachusetts,Reference,Mesotidal,Pool,NA,3.3,32.2,67.8,63.9,0,2.3,22.6,4.6
Great Marsh,South Runnel,2022,2022,0,Essex,Site 1,Essex Reference,Essex South No Action,Massachusetts,Runnel,Mesotidal,Pool,1.234,32,28.2,71.8,38.8,1.4,2.2,22.6,2.4
Great Marsh,North Runnel,2022,2022,0,Essex,Site 2,Essex Reference,Essex North No Action,Massachusetts,Runnel,Mesotidal,Pool,1.512,49.2,46.9,53.1,3.8,0,2,20.3,2.4
Great Marsh,South Runnel,2024,2022,2,Essex,Site 1,Essex Reference,Essex South No Action,Massachusetts,Runnel,Mesotidal,Pool,NA,55,30.6,69.4,11.2,1.4,3,53.6,1
Great Marsh,North Runnel,2024,2022,2,Essex,Site 2,Essex Reference,Essex North No Action,Massachusetts,Runnel,Mesotidal,Pool,NA,46.5,37.8,62.2,7.9,0.1,2.2,30.9,0.9
Great Marsh,No Action,2022,2022,0,Ipswich,Site 2,,,Massachusetts,No Action,Mesotidal,Panne,1.257,26.2,54.2,45.8,18.9,1.2,1.8,15.2,1.5
