"","Veg_Metric","Age_Classification","emmean","SE","df","lower.CL","upper.CL",".group"
"1","abiotic_cover","Reference",16.1880952380952,2.08704148027993,58.2389391939708,12.0107927162386,20.3653977599519," 1  "
"2","abiotic_cover","Older Restoration",32.4181647166926,2.49651461625004,81.9719834367424,27.4517764489195,37.3845529844658,"  2 "
"3","abiotic_cover","Early Restoration",41.7021848610808,2.67837611505062,88.2918207971201,36.3797203392104,47.0246493829511,"   3"
"4","abiotic_cover","Pre-Restoration",47.0444444444445,2.25426244341925,58.2389391939708,42.5324420339514,51.5564468549375,"   3"
"5","SPALT","Reference",8.84047619047619,2.46347848387582,58.3642101763573,3.9099433307977,13.7710090501547," 1 "
"6","SPALT","Pre-Restoration",29.2888888888888,2.66086087835102,58.3642101763573,23.9633047274629,34.6144730503148,"  2"
"7","SPALT","Older Restoration",30.6956287405762,2.82407105597377,83.1840057960768,25.0788487389347,36.3124087422178,"  2"
"8","SPALT","Early Restoration",31.4242514993137,2.99851241362095,90.4976645729096,25.4676294987024,37.380873499925,"  2"
"9","high_marsh_grams","Pre-Restoration",20.5416666666667,3.22519916659857,58.4811493816939,14.0868598162469,26.9964735170865," 1 "
"10","high_marsh_grams","Early Restoration",23.4440057579373,3.47043566596594,89.5967045591995,16.5489567441732,30.3390547717014," 1 "
"11","high_marsh_grams","Older Restoration",29.9230351633325,3.30072606520887,82.0043632673045,23.3568447805249,36.4892255461401," 1 "
"12","high_marsh_grams","Reference",71.0214285714287,2.98595421420664,58.4811493816939,65.0454386491604,76.9974184936969,"  2"
"13","Canopy_Height_cm","Reference",24.9,1.87568393678286,58.2185029782081,21.1457106731152,28.6542893268849," 1 "
"14","Canopy_Height_cm","Pre-Restoration",25.2222222222222,2.02597020440976,58.2185029782081,21.1671262831654,29.277318161279," 12"
"15","Canopy_Height_cm","Early Restoration",27.4708260446192,2.42939215436847,87.5455719618482,22.6425703321168,32.2990817571216," 12"
"16","Canopy_Height_cm","Older Restoration",32.8205061225199,2.26055364916448,81.4643295656489,28.3231020417976,37.3179102032422,"  2"
