"","model","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","SPALT","Time_Since_Restoration",330.85873521102,330.85873521102,1,43.749165550557,3.65537953245956,0.0624515016870236
"2","SPALT","Marsh_Condition",7.95458274280146,7.95458274280146,1,34.6656175501742,0.0878834857684726,0.768654205480091
"3","SPALT","Time_Since_Restoration:Marsh_Condition",99.7712831492353,99.7712831492353,1,43.7491655504782,1.10228888506854,0.299529594486572
"4","High Marsh Graminoid","Time_Since_Restoration",624.040939779292,624.040939779292,1,42.2666224637081,9.46337967440998,0.00366886469465043
"5","High Marsh Graminoid","Marsh_Condition",3.67617081153599,3.67617081153599,1,35.9498283056061,0.0557479452387418,0.814687358947834
"6","High Marsh Graminoid","Time_Since_Restoration:Marsh_Condition",227.823408593573,227.823408593573,1,42.2666224641078,3.4548685459671,0.0700381172161164
"7","Abiotic Cover","Time_Since_Restoration",419.300047600019,419.300047600019,1,40.6451850187484,5.87010372126892,0.0199439942734727
"8","Abiotic Cover","Marsh_Condition",32.4697160833972,32.4697160833972,1,30.5284901393987,0.45456851793996,0.505247049374077
"9","Abiotic Cover","Time_Since_Restoration:Marsh_Condition",114.268560130405,114.268560130405,1,40.6451850181985,1.5997334221278,0.213145087398935
"10","Canopy Height","Time_Since_Restoration",395.076848171074,395.076848171074,1,43.7204010450306,7.06221107895745,0.0109516007389158
"11","Canopy Height","Marsh_Condition",21.8654182284829,21.8654182284829,1,34.9427526455649,0.390856107043672,0.535911550786759
"12","Canopy Height","Time_Since_Restoration:Marsh_Condition",5.9712923173939,5.9712923173939,1,43.7204010453568,0.106740060711764,0.74544548591788
"13","High Marsh Ratio","Time_Since_Restoration",0.022721398635653,0.022721398635653,1,94.5943601194273,2.44763404989792,0.121041549762563
"14","High Marsh Ratio","Marsh_Condition",4.112306597726e-06,4.112306597726e-06,1,101.827148543453,0.000442993048694634,0.983249032292197
"15","High Marsh Ratio","Time_Since_Restoration:Marsh_Condition",0.00676870864470405,0.00676870864470405,1,94.5943601190999,0.729150613405446,0.395315895945563
