"","Time_Since_Restoration","abiotic_cover_RPI_mean","abiotic_cover_RPI_se","canopy_height_RPI_mean","canopy_height_RPI_se","high_marsh_grams_RPI_mean","high_marsh_grams_RPI_se","SPALT_RPI_mean","SPALT_RPI_se","RPI_total_mean","RPI_total_se"
"1",0,0.15,0.08,0.35,0.17,0.01,0.01,0.08,0.07,0.15,0.05
"2",2,0.37,0.13,0.43,0.14,0.09,0.04,0.15,0.09,0.26,0.06
"3",3,0.06,NA,0,NA,0,NA,1,NA,0.26,NA
"4",4,0.57,0.15,0.25,0.16,0.35,0.15,0.3,0.17,0.37,0.11
"5",5,0.44,0.28,0.28,0.28,0.43,0.28,0.32,0.3,0.37,0.29
"6",6,0.49,0.13,0.51,0.17,0.17,0.09,0.39,0.18,0.39,0.08
"7",7,0.48,0.11,0.18,0.12,0.35,0.12,0.4,0.2,0.35,0.09
"8",8,0.67,0.13,0.5,0.22,0.55,0.17,0.46,0.21,0.54,0.13
"9",9,0.43,0.3,0.21,0.21,0.24,0.14,0.43,0.3,0.33,0.23
"10",10,0.49,0.11,0.2,0.2,0.22,0.16,0,0,0.22,0.11
"11",11,0,NA,0.77,NA,0.04,NA,0.47,NA,0.32,NA
"12",13,0.39,NA,0.68,NA,0.16,NA,0.02,NA,0.31,NA
