"","model","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","SPALT","Time_Since_Restoration",72.4038674385116,72.4038674385116,1,43.8277995214105,0.796029446405084,0.377155709827525
"2","SPALT","Tidal_Regime",215.053324555706,215.053324555706,1,41.1823519102509,2.36435959776641,0.131783513298046
"3","SPALT","Time_Since_Restoration:Tidal_Regime",72.4605308547219,72.4605308547219,1,43.8277995218386,0.796652420694069,0.376970752092198
"4","High Marsh Graminoid","Time_Since_Restoration",227.589453750399,227.589453750399,1,36.912818454099,3.72351926794955,0.0613641985845987
"5","High Marsh Graminoid","Tidal_Regime",238.520239481432,238.520239481432,1,40.584833182732,3.90235440557403,0.0550458210429112
"6","High Marsh Graminoid","Time_Since_Restoration:Tidal_Regime",149.08856823747,149.08856823747,1,36.9128184549781,2.43919104033729,0.12687093686999
"7","Abiotic Cover","Time_Since_Restoration",83.348726958796,83.348726958796,1,43.0819175253072,1.27031945675048,0.265945333596734
"8","Abiotic Cover","Tidal_Regime",61.3629377741229,61.3629377741229,1,41.6601480289197,0.935233645696506,0.339087540680133
"9","Abiotic Cover","Time_Since_Restoration:Tidal_Regime",34.1595741503749,34.1595741503749,1,43.0819175258405,0.520626688143466,0.474472434062147
"10","Canopy Height","Time_Since_Restoration",473.959883095858,473.959883095858,1,42.0648258917014,8.69267169040917,0.00519613548588514
"11","Canopy Height","Tidal_Regime",53.0510799312919,53.0510799312919,1,41.7213850981941,0.972984501667427,0.329623153306502
"12","Canopy Height","Time_Since_Restoration:Tidal_Regime",3.47742132108571,3.47742132108571,1,42.0648258895174,0.0637777224434699,0.801851756700404
"13","High Marsh Ratio","Time_Since_Restoration",0.0632071678532566,0.0632071678532566,1,39.7068187843312,4.14797231090124,0.0483908960487584
"14","High Marsh Ratio","Tidal_Regime",0.0466578945956802,0.0466578945956802,1,41.5512983086141,3.06192575052797,0.0875291909759982
"15","High Marsh Ratio","Time_Since_Restoration:Tidal_Regime",0.023505403143197,0.023505403143197,1,39.7068187854095,1.54254279547709,0.22152576984268
