Common Name,Species Name,AlphaCode,Feeding Guild,Feeding Guild Code,Wetland Score,Comments - Feeding Guild,
Alder Flycatcher,Empidonax alnorum,ALFL,Aerial Insectivore,Aerial,3,"Based on Graaf et al. 1985, Similar to Swallows in Shriver 2015",
American Crow,Corvus brachyrhynchos,AMCR,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
American Black Duck,Anas rubripes,AMDU,Dabblers and Grubbers,Dabbler,5,"Not listed in Shriver 2015, Ducks listed",
American Goldfinch,Spinus tristis,AMGO,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
American Oystercatcher,Haematopus palliatus,AMOY,Mudflat Probers and Gleaners,Mudflat,5,"Based on graaf et al. 1985, Similar to Sandpipers in Shriver 2015",
American Robin,Turdus migratorius,AMRO,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
Bank Swallow,Riparia riparia,BANS,Aerial Insectivore,Aerial,1,"Not listed in Shriver 2015, Swallows listed",
Baltimore Oriole,Icterus galbula,BAOR,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,Not listed but assumed a score of 0
Barn Swallow,Hirundo rustica,BARS,Aerial Insectivore,Aerial,0,Listed in Shriver 2015,
Black-backed Gull,Larus marinus,BBGU,"Scavengers, Food Pirates, and Generalists",Scavengers,5,Listed in Shriver 2015,
Black-bellied Plover,Pluvialis squatarola,BBPL,Mudflat Probers and Gleaners,Mudflat,5,"Not listed in Shriver 2015, Plovers and Sandpipers listed",
Black-capped Chickadee,Poecile atricapillus,BCCH,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
Blue Jay,Cyanocitta cristata,BLJA,Upland Edge Canopy Forager,Upland,0,Based on Graaf et al. 1985,
Bobolink,Dolichonyx oryzivorus,BOBO,Marsh Foragers and Gleaners,Marsh,1,"Not listed in Shriver 2015, Sparrows and Wrens listed",
Canada Goose,Branta canadensis,CAGO,Dabblers and Grubbers,Dabbler,5,"Not listed in Shriver 2015, Geese listed",
Carolina Wren,Thryothorus ludovicianus,CARW,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
Cedar Waxwing,Bombycilla cedrorum,CEDW,Aerial Insectivore,Aerial,0,"Based on Graaf et al. 1985, Similar to Swallows in Shriver 2015",
Chipping Sparrow,Spizella passerina,CHSP,Marsh Foragers and Gleaners,Marsh,0,"Not listed in Shriver 2015, Sparrows and Wrens listed",
Clapper Rail,Rallus crepitans,CLRA,Marsh Foragers and Gleaners,Marsh,5,Listed in Shriver 2015,Not listed but assumed 5 due to habitat requirements
Common Grackle,Quiscalus quiscula,COGR,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
Common Tern,Sterna hirundo,COTE,Piscivore Plungers and Divers,Piscivore,5,Listed in Shriver 2015,
Common Yellowthroat,Geothlypis trichas,COYE,Upland Edge Gleaners and Foragers,Upland,3,Based on Graaf et al. 1985,
Chestnut-sided Warbler,Setophaga pensylvanica,CSWA,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
Double-crested Cormorant,Nannopterum auritum,DCCO,Piscivore Plungers and Divers,Piscivore,5,Listed in Shriver 2015,
Dunlin,Calidris alpina,DUNL,Mudflat Probers and Gleaners,Mudflat,5,"Not listed in Shriver 2015, Sandpipers listed",
Eastern Kingbird,Tyrannus tyrannus,EAKI,Aerial Insectivore,Aerial,0,Listed in Shriver 2015,
Eastern Phoebe,Sayornis phoebe,EAPH,Aerial Insectivore,Aerial,0,"Not listed in Shriver 2015, Swallows listed",
Eastern Towhee,Pipilo erythrophthalmus,EATO,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,Not listed but assumed a score of 0
European Starling,Sturnus vulgaris,EUST,Upland Edge Gleaners and Foragers,Upland,0,Based on Graaf et al. 1985,
Great Blue Heron,Ardea herodias,GBHE,Wading Ambushers,Wading,5,Listed in Shriver 2015,
Great Crested Flycatcher,Myiarchus crinitus,GCFL,Aerial Insectivore,Aerial,0,"Based on Graaf et al. 1985, Similar to Swallows in Shriver 2015",
Glossy Ibis,Plegadis falcinellus,GLIB,Mudflat Probers and Gleaners,Mudflat,5,"Not listed in Shriver 2015, White Ibis and White-faced Ibis listed",
Gray Catbird,Dumetella carolinensis,GRCA,Upland Edge Gleaners and Foragers,Upland,1,Based on Graaf et al. 1985,
Great Egret,Ardea alba,GREG,Wading Ambushers,Wading,5,Listed in Shriver 2015,
Green Heron,Butorides virescens,GRHE,Wading Ambushers,Wading,5,Listed in Shriver 2015,
Greater Yellowlegs,Tringa melanoleuca,GRYE,Mudflat Probers and Gleaners,Mudflat,5,Listed in Shriver 2015,
