RegionNum,State,Site,Hexagon,PointID,Treatment,Runnel_Year0,Point_X,Point_Y,SurveyMethod,VisitNum,SurveyWindow,SurveyDate,Year,Month,Day,Observer,Tide,SurveyTime,TempF,Sky,WindSp,Noise,AlphaCode,DistBand,TotalCountN,Min 1,Min 2,Min 3,Min 4,Min 5,Min 6,Min 7,Min 8,Min 9,Min 10,Min 11,Min 12,Outside,Comments
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,COYE,0-50m,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,MUSW,0-50m,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,SOSP,0-50m,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,RWBL,0-50m,6,2,2,1,0,0,0,0,0,1,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,SALS,0-50m,3,1,1,1,0,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,MALL,0-50m,3,0,0,0,3,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,EUST,0-50m,4,0,0,0,3,0,0,0,0,0,0,1,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,RTHA,51-100m,2,0,0,0,0,0,1,1,0,0,0,0,0,0,Flyover
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,RWBL,51-100m,4,0,0,0,0,0,0,0,2,2,0,0,0,0,
2,MA,Broad Cove,,BC REF,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,COYE,51-100m,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,OSPR,0-50m,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"One on nest, one flying"
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,SOSP,0-50m,2,1,0,0,1,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,RWBL,0-50m,4,2,0,0,0,0,0,2,0,0,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,CSWA,51-100m,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,COYE,51-100m,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,RWBL,51-100m,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,MODO,0-50m,3,0,0,0,0,1,0,0,0,2,0,0,0,0,
2,MA,Broad Cove,,BC RUN,RUN,2017,-71.13327,41.7925,Foot – survey conducted while standing on the ground,1,1,5/22/2023,2023,5,22,JLG/LG,Low/Rising,7:28,54,0,1,2,MALL,0-50m,5,0,0,0,0,0,3,0,2,0,0,0,0,0,
