"","term","sumsq","meansq","NumDF","DenDF","statistic","p.value","metric"
"1","Treatment",1.14073250026539,0.570366250132694,2,51.8506810334825,1.72616012657106,0.188035521178338,"totalbirds"
"2","Year",6.405787390904,3.202893695452,2,69.5094252025911,9.69325829753924,0.000193583232285959,"totalbirds"
"3","Treatment:Year",0.834518120779168,0.208629530194792,4,73.9178859482716,0.63139776619623,0.641651268296858,"totalbirds"
"4","Treatment",2.9996746994065,1.49983734970325,2,91.1191655605217,3.20023042052301,0.0453731516314418,"saltysparrow"
"5","Year",7.31226977465436,3.65613488732718,2,97.656673635659,7.80116196617912,0.000719252821414087,"saltysparrow"
"6","Treatment:Year",3.30286975435609,0.825717438589023,4,90.4037485856206,1.76184842059824,0.143453036032335,"saltysparrow"
"7","Treatment",25.881911864057,12.9409559320285,2,49.922159876817,1.93457017341177,0.155165389538904,"panne_dependent"
"8","Year",1.51339212625149,0.756696063125743,2,72.4584095896787,0.113120054016883,0.893200837944088,"panne_dependent"
"9","Treatment:Year",4.27517022663592,1.06879255665898,4,77.791626757923,0.159776002061763,0.957978934970118,"panne_dependent"
"10","Treatment",0.728176041391077,0.364088020695538,2,48.6350915289613,0.641468490280344,0.530914759280657,"weighted_wetland_score"
"11","Year",0.410206489282623,0.205103244641311,2,64.9162554054658,0.36136115777806,0.698119895882472,"weighted_wetland_score"
"12","Treatment:Year",3.21512670611249,0.803781676528123,4,71.8334124674972,1.41614277111485,0.237347616970961,"weighted_wetland_score"
"13","Treatment",3.84710893638678,1.92355446819339,2,49.1498646207809,2.17950742403003,0.123907682611442,"richness"
"14","Year",4.13694679726065,2.06847339863032,2,68.2540112614647,2.34370962885059,0.103649950334536,"richness"
"15","Treatment:Year",0.241997369329427,0.0604993423323569,4,74.5948409961792,0.0685495357384646,0.991229653871976,"richness"
"16","Treatment",0.295169092832099,0.147584546416049,2,49.3771615891545,2.04040862133179,0.140792459075303,"shannon"
"17","Year",0.308495935599571,0.154247967799785,2,70.1219324538754,2.13253278181546,0.126161300471402,"shannon"
"18","Treatment:Year",0.0249562842790309,0.00623907106975773,4,76.3407719810144,0.0862573671090748,0.986455094735604,"shannon"
