"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T1",5,1.9,-0.79,0.969,"","Broad Cove - Reference",2021,5,41,0.969,1.264,0.969,1.264,0,0,0,0.969
"2","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T1",9,1.9,-0.79,0.969,"","Broad Cove - Reference",2021,5,41,0.969,1.264,0.969,1.264,0,0,0,0.969
"3","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T1",33,1.77,-0.66,1.099,"","Broad Cove - Reference",2021,5,41,0.969,1.264,0.969,1.264,0,0,0,1.099
"4","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T1",37,1.73,-0.62,1.139,"","Broad Cove - Reference",2021,5,41,0.969,1.264,0.969,1.264,0,0,0,1.139
"5","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T1",41,1.605,-0.495,1.264,"south stake","Broad Cove - Reference",2021,5,41,0.969,1.264,0.969,1.264,0,0,0,1.264
"6","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T2",4,1.725,-0.35,0.988,"","Broad Cove - Reference",2021,4,36,0.988,1.133,0.988,1.133,0,0,0,0.988
"7","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T2",8,1.695,-0.32,1.018,"","Broad Cove - Reference",2021,4,36,0.988,1.133,0.988,1.133,0,0,0,1.018
"8","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T2",32,1.615,-0.24,1.098,"","Broad Cove - Reference",2021,4,36,0.988,1.133,0.988,1.133,0,0,0,1.098
"9","8/4/2021",2021,"Rhode Island","Broad Cove","","Reference","T2",36,1.58,-0.205,1.133,"NE stake","Broad Cove - Reference",2021,4,36,0.988,1.133,0.988,1.133,0,0,0,1.133
"10","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",4,1.89,-0.78,0.979,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,0.979
"11","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",6,1.89,-0.78,0.979,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,0.979
"12","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",8,1.86,-0.75,1.009,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.009
"13","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",30,1.84,-0.73,1.029,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.029
"14","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",34,1.83,-0.72,1.039,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.039
"15","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",38,1.82,-0.71,1.049,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.049
"16","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",40,1.83,-0.72,1.039,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.039
"17","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",42,1.84,-0.73,1.029,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.029
"18","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",44,1.82,-0.71,1.049,"start of Panicum","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.049
"19","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",47,1.8,-0.69,1.069,"","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.069
"20","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T1",50,1.75,-0.64,1.119,"east stake (upland edge)","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.979,1.119,0,0,0,1.119
"21","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T2",4,1.85,-0.74,1.019,"","Broad Cove - Runnel",2021,4,35.5,1.019,1.249,1.019,1.249,0,0,0,1.019
"22","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T2",8,1.845,-0.735,1.024,"","Broad Cove - Runnel",2021,4,35.5,1.019,1.249,1.019,1.249,0,0,0,1.024
"23","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T2",30,1.82,-0.71,1.049,"","Broad Cove - Runnel",2021,4,35.5,1.019,1.249,1.019,1.249,0,0,0,1.049
"24","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T2",32,1.8,-0.69,1.069,"","Broad Cove - Runnel",2021,4,35.5,1.019,1.249,1.019,1.249,0,0,0,1.069
"25","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T2",34,1.79,-0.68,1.079,"","Broad Cove - Runnel",2021,4,35.5,1.019,1.249,1.019,1.249,0,0,0,1.079
"26","8/4/2021",2021,"Rhode Island","Broad Cove","","Runnel","T2",35.5,1.62,-0.51,1.249,"west stake (upland edge)","Broad Cove - Runnel",2021,4,35.5,1.019,1.249,1.019,1.249,0,0,0,1.249
"27","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T1",5,1.93,-0.615,0.955,"HM","Broad Cove - Reference",2021,5,41,0.969,1.264,0.955,1.245,-0.014,-0.0189999999999999,-0.0165,0.971
"28","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T1",9,1.92,-0.605,0.965,"HM","Broad Cove - Reference",2021,5,41,0.969,1.264,0.955,1.245,-0.014,-0.0189999999999999,-0.0165,0.981
"29","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T1",33,1.81,-0.495,1.075,"HM/ Iva border","Broad Cove - Reference",2021,5,41,0.969,1.264,0.955,1.245,-0.014,-0.0189999999999999,-0.0165,1.091
"30","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T1",37,1.735,-0.42,1.15,"iva/UE","Broad Cove - Reference",2021,5,41,0.969,1.264,0.955,1.245,-0.014,-0.0189999999999999,-0.0165,1.166
"31","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T1",41,1.64,-0.325,1.245,"UE","Broad Cove - Reference",2021,5,41,0.969,1.264,0.955,1.245,-0.014,-0.0189999999999999,-0.0165,1.262
"32","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T2",4,1.72,-0.405,1.165,"HM","Broad Cove - Reference",2021,4,36,0.988,1.133,1.165,1.305,0.177,0.172,0.1745,0.991
"33","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T2",8,1.69,-0.375,1.195,"HM","Broad Cove - Reference",2021,4,36,0.988,1.133,1.165,1.305,0.177,0.172,0.1745,1.021
"34","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T2",32,1.6,-0.285,1.285,"HM, phrag edge","Broad Cove - Reference",2021,4,36,0.988,1.133,1.165,1.305,0.177,0.172,0.1745,1.11
"35","7/23/2024",2024,"Rhode Island","Broad Cove","","Reference","T2",36,1.58,-0.265,1.305,"HM/phrag","Broad Cove - Reference",2021,4,36,0.988,1.133,1.165,1.305,0.177,0.172,0.1745,1.131
"36","7/23/2024",2024,"Rhode Island","Broad Cove","","Runnel","T1",4,1.905,-0.59,0.98,"iva/HM","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.98,1.125,0.001,0.00600000000000001,0.0035,0.976
"37","7/23/2024",2024,"Rhode Island","Broad Cove","","Runnel","T1",6,1.935,-0.62,0.95,"iva/HM","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.98,1.125,0.001,0.00600000000000001,0.0035,0.946
"38","7/23/2024",2024,"Rhode Island","Broad Cove","","Runnel","T1",8,1.91,-0.595,0.975,"iva/HM","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.98,1.125,0.001,0.00600000000000001,0.0035,0.972
"39","7/23/2024",2024,"Rhode Island","Broad Cove","","Runnel","T1",30,1.855,-0.54,1.03,"HM","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.98,1.125,0.001,0.00600000000000001,0.0035,1.026
"40","7/23/2024",2024,"Rhode Island","Broad Cove","","Runnel","T1",34,1.845,-0.53,1.04,"HM","Broad Cove - Runnel",2021,4,50,0.979,1.119,0.98,1.125,0.001,0.00600000000000001,0.0035,1.036
