"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",0,1.65,-0.175,0.44,"North post / panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.44
"2","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",5,1.66,-0.185,0.43,"panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.43
"3","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",10,1.655,-0.18,0.435,"panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.435
"4","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",15,1.65,-0.175,0.44,"panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.44
"5","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",20,1.67,-0.195,0.42,"bare panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.42
"6","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",23.5,1.64,-0.165,0.45,"ridge panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.45
"7","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",25,1.72,-0.245,0.37,"bare panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.37
"8","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",30,1.72,-0.245,0.37,"bare panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.37
"9","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",35,1.72,-0.245,0.37,"bare panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.37
"10","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",38.3,1.67,-0.195,0.42,"edge of veg",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.42
"11","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",39,1.61,-0.135,0.48,"edge of HM",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.48
"12","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",40,1.58,-0.105,0.51,"HM",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.51
"13","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",42.7,1.715,-0.24,0.375,"bare panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.375
"14","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",45,1.625,-0.15,0.465,"veg panne",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.465
"15","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T1",50,1.565,-0.09,0.525,"South post / HM ridge",2022,0,50,0.44,0.525,0.44,0.525,0,0,0,0.525
"16","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",0,1.64,-0.165,0.45,"North stake / HM",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.45
"17","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",5,1.63,-0.155,0.46,"HM",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.46
"18","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",10,1.66,-0.185,0.43,"veg panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.43
"19","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",15,1.64,-0.165,0.45,"veg panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.45
"20","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",20,1.63,-0.155,0.46,"veg panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.46
"21","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",25,1.67,-0.195,0.42,"mud panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.42
"22","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",30,1.74,-0.265,0.35,"mud panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.35
"23","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",33.8,1.64,-0.165,0.45,"edge of mud panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.45
"24","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",35,1.64,-0.165,0.45,"Ribbon on LM",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.45
"25","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",37.1,1.66,-0.185,0.43,"edge of ribbon/mud panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.43
"26","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",40,1.76,-0.285,0.33,"mud panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.33
"27","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",42.7,1.7,-0.225,0.39,"edge of mud panne",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.39
"28","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",43.9,1.6,-0.125,0.49,"start of HM",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.49
"29","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",45,1.58,-0.105,0.51,"HM",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.51
"30","8/8/2022",2022,"Rhode Island","Canonchet","","No Action","No Action","T2",50,1.58,-0.105,0.51,"South Stake / UE",2022,0,50,0.45,0.51,0.45,0.51,0,0,0,0.51
"31","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",0,1.68,-0.17,0.532,"N POST / HM",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.43
"32","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",5,1.685,-0.175,0.527,"PANNE",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.425
"33","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",10,1.69,-0.18,0.522,"WET PANNE",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.42
"34","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",15,1.665,-0.155,0.547,"PANNE",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.445
"35","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",20,1.72,-0.21,0.492,"BARE WET PANNE",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.39
"36","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",23.5,1.65,-0.14,0.562,"PANNE RIDGE / POOL EDGE",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.46
"37","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",25,1.72,-0.21,0.492,"POOL",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.39
"38","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",30,1.65,-0.14,0.562,"POOL",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.46
"39","7/16/2024",2024,"Rhode Island","Canonchet","","No Action","No Action","T1",38,1.75,-0.24,0.462,"POOL EDGE",2022,0,50,0.44,0.525,0.532,0.637,0.092,0.112,0.102,0.36
