"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"No Action","T1",0.43,0.37,0.52
"2",2022,"No Action","T2",0.44,0.33,0.51
"3",2022,"Reference","T1",0.41,0.22,0.58
"4",2022,"Reference","T2",0.4,0.16,0.46
"5",2022,"Runnel","T1",0.42,0.28,0.56
"6",2022,"Runnel","T2",0.37,0.02,0.5
"7",2024,"No Action","T1",0.53,0.43,0.64
"8",2024,"No Action","T2",0.51,0.38,0.61
"9",2024,"Reference","T1",0.42,0.22,0.58
"10",2024,"Reference","T2",0.41,0.19,0.46
"11",2024,"Runnel","T1",0.46,0.28,0.6
"12",2024,"Runnel","T2",0.4,0,0.54
