"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","9/27/2022",2022,"MA","Essex","South","Runnel","T1",0,1.735,-1.005,1.391,"South post (High)","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.391
"2","9/27/2022",2022,"MA","Essex","South","Runnel","T1",0.9,1.76,-1.03,1.366,"upper edge runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.366
"3","9/27/2022",2022,"MA","Essex","South","Runnel","T1",1.2,2.02,-1.29,1.106,"lower edge runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.106
"4","9/27/2022",2022,"MA","Essex","South","Runnel","T1",1.5,2.06,-1.33,1.066,"runnel center","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.066
"5","9/27/2022",2022,"MA","Essex","South","Runnel","T1",2,1.95,-1.22,1.176,"lower edge runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.176
"6","9/27/2022",2022,"MA","Essex","South","Runnel","T1",2.6,1.785,-1.055,1.341,"upper edge runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.341
"7","9/27/2022",2022,"MA","Essex","South","Runnel","T1",3,1.76,-1.03,1.366,"High","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.366
"8","9/27/2022",2022,"MA","Essex","South","Runnel","T1",6,1.72,-0.99,1.406,"High","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.406
"9","9/27/2022",2022,"MA","Essex","South","Runnel","T1",10,1.69,-0.96,1.436,"High","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.436
"10","9/27/2022",2022,"MA","Essex","South","Runnel","T1",13,1.68,-0.95,1.446,"High","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.446
"11","9/27/2022",2022,"MA","Essex","South","Runnel","T1",16,1.69,-0.96,1.436,"High","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.436
"12","9/27/2022",2022,"MA","Essex","South","Runnel","T1",20,1.805,-1.075,1.321,"Trans","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.321
"13","9/27/2022",2022,"MA","Essex","South","Runnel","T1",20.5,1.96,-1.23,1.166,"edge of runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.166
"14","9/27/2022",2022,"MA","Essex","South","Runnel","T1",21.4,2.19,-1.46,0.936,"runnel center","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,0.936
"15","9/27/2022",2022,"MA","Essex","South","Runnel","T1",22.4,2.35,-1.62,0.776,"hole","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,0.776
"16","9/27/2022",2022,"MA","Essex","South","Runnel","T1",23,2.39,-1.66,0.736,"hole","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,0.736
"17","9/27/2022",2022,"MA","Essex","South","Runnel","T1",23.7,2.22,-1.49,0.906,"edge of runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,0.906
"18","9/27/2022",2022,"MA","Essex","South","Runnel","T1",23.9,1.75,-1.02,1.376,"edge of runnel","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.376
"19","9/27/2022",2022,"MA","Essex","South","Runnel","T1",26,1.705,-0.975,1.421,"High","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.421
"20","9/27/2022",2022,"MA","Essex","South","Runnel","T1",30,1.76,-1.03,1.366,"h","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.366
"21","9/27/2022",2022,"MA","Essex","South","Runnel","T1",31,1.88,-1.15,1.246,"Top edge pool","Essex - South - Runnel",2022,0,50,1.391,0.921,1.391,0.921,0,0,0,1.246
