"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"Essex - North - No Action","T1",1.5,1.21,1.56
"2",2022,"Essex - North - No Action","T2",1.23,0.57,1.5
"3",2022,"Essex - North - Runnel","T1",1.52,1.35,1.59
"4",2022,"Essex - North - Runnel","T2",1.46,1.2,1.64
"5",2022,"Essex - South - No Action","T1",1.43,1.21,1.5
"6",2022,"Essex - South - No Action","T2",1.42,1.21,1.52
"7",2022,"Essex - South - Reference","T1",1.48,1.37,1.68
"8",2022,"Essex - South - Reference","T2",1.42,1.33,1.65
"9",2022,"Essex - South - Runnel","T1",1.16,0.58,1.45
"10",2022,"Essex - South - Runnel","T2",1.32,1.04,1.49
"11",2024,"Essex - North - No Action","T1",1.36,1.06,1.45
"12",2024,"Essex - North - No Action","T2",1.17,0.77,1.47
"13",2024,"Essex - North - Runnel","T1",1.49,1.23,1.56
"14",2024,"Essex - North - Runnel","T2",1.43,1.19,1.61
"15",2024,"Essex - South - No Action","T1",1.41,1.18,1.49
"16",2024,"Essex - South - No Action","T2",1.38,1.18,1.49
"17",2024,"Essex - South - Reference","T1",1.48,1.38,1.68
"18",2024,"Essex - South - Reference","T2",1.42,1.33,1.66
"19",2024,"Essex - South - Runnel","T1",1.15,0.66,1.46
"20",2024,"Essex - South - Runnel","T2",1.34,1.05,1.5
