"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",0,1.64,-0.065,1.464,"SW post (High)","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.464
"2","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",3,1.66,-0.085,1.444,"edge of veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.444
"3","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",5,1.67,-0.095,1.434,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.434
"4","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",8,1.685,-0.11,1.419,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.419
"5","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",10,1.69,-0.115,1.414,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.414
"6","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",13,1.71,-0.135,1.394,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.394
"7","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",15,1.7,-0.125,1.404,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.404
"8","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",18,1.77,-0.195,1.334,"edge of pool","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.334
"9","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",18.5,1.85,-0.275,1.254,"pool","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.254
"10","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",20,1.85,-0.275,1.254,"pool","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.254
"11","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",21,1.7,-0.125,1.404,"top edge of pool","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.404
"12","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",23,1.73,-0.155,1.374,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.374
"13","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",25,1.71,-0.135,1.394,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.394
"14","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",28,1.71,-0.135,1.394,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.394
"15","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",30,1.735,-0.16,1.369,"veg panne","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.369
"16","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",30.2,1.815,-0.24,1.289,"pool","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.289
"17","10/4/2022",2022,"MA","Ipswich","","Runnel","T1",32.2,1.89,-0.315,1.214,"NE post","Ipswich - Runnel",2022,0,32.2,1.464,1.214,1.464,1.214,0,0,0,1.214
"18","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",0,1.71,-0.135,1.394,"South stake (high)","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.394
"19","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",3,1.72,-0.145,1.384,"High","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.384
"20","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",6,1.72,-0.145,1.384,"veg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.384
"21","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",9,1.725,-0.15,1.379,"veg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.379
"22","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",11,1.705,-0.13,1.399,"veg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.399
"23","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",11.4,1.76,-0.185,1.344,"pool","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.344
"24","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",14,1.755,-0.18,1.349,"veg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.349
"25","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",16,1.78,-0.205,1.324,"pool","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.324
"26","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",18,1.765,-0.19,1.339,"pool","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.339
"27","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",20,1.75,-0.175,1.354,"veg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.354
"28","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",23,1.775,-0.2,1.329,"veg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.329
"29","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",26,1.77,-0.195,1.334,"unveg panne","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.334
"30","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",29,1.73,-0.155,1.374,"edge of runnel","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.374
"31","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",30,1.9,-0.325,1.204,"runnel center","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.204
"32","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",32,1.885,-0.31,1.219,"runnel center","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.219
"33","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",34,1.82,-0.245,1.284,"edge of runnel","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.284
"34","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",36.7,1.905,-0.33,1.199,"in runnel","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.199
"35","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",37,1.94,-0.365,1.164,"in runnel","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.164
"36","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",39,2.02,-0.445,1.084,"in runnel","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.084
"37","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",42,2.12,-0.545,0.984,"in runnel","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,0.984
"38","10/4/2022",2022,"MA","Ipswich","","Runnel","T2",42.6,1.79,-0.215,1.314,"North stake","Ipswich - Runnel",2022,0,42.6,1.394,1.314,1.394,1.314,0,0,0,1.314
"39","10/4/2022",2022,"MA","Ipswich","","Reference","T1",0,1.835,-0.14,1.216,"East stake (trans)","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.216
"40","10/4/2022",2022,"MA","Ipswich","","Reference","T1",4,1.82,-0.125,1.231,"trans","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.231
"41","10/4/2022",2022,"MA","Ipswich","","Reference","T1",8,1.77,-0.075,1.281,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.281
"42","10/4/2022",2022,"MA","Ipswich","","Reference","T1",12,1.75,-0.055,1.301,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.301
"43","10/4/2022",2022,"MA","Ipswich","","Reference","T1",16,1.725,-0.03,1.326,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.326
"44","10/4/2022",2022,"MA","Ipswich","","Reference","T1",20,1.72,-0.025,1.331,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.331
"45","10/4/2022",2022,"MA","Ipswich","","Reference","T1",24,1.715,-0.02,1.336,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.336
"46","10/4/2022",2022,"MA","Ipswich","","Reference","T1",28,1.71,-0.015,1.341,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.341
"47","10/4/2022",2022,"MA","Ipswich","","Reference","T1",32,1.7,-0.005,1.351,"veg panne","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.351
"48","10/4/2022",2022,"MA","Ipswich","","Reference","T1",36,1.69,0.005,1.361,"high","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.361
"49","10/4/2022",2022,"MA","Ipswich","","Reference","T1",40,1.67,0.025,1.381,"West stake (high)","Ipswich - Reference",2022,0,40,1.216,1.381,1.216,1.381,0,0,0,1.381
"50","10/4/2022",2022,"MA","Ipswich","","Reference","T2",0,1.805,-0.11,1.246,"South stake (LM)","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.246
"51","10/4/2022",2022,"MA","Ipswich","","Reference","T2",4,1.7,-0.005,1.351,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.351
"52","10/4/2022",2022,"MA","Ipswich","","Reference","T2",8,1.66,0.035,1.391,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.391
"53","10/4/2022",2022,"MA","Ipswich","","Reference","T2",12,1.65,0.045,1.401,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.401
"54","10/4/2022",2022,"MA","Ipswich","","Reference","T2",16,1.64,0.055,1.411,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.411
"55","10/4/2022",2022,"MA","Ipswich","","Reference","T2",20,1.635,0.06,1.416,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.416
"56","10/4/2022",2022,"MA","Ipswich","","Reference","T2",24,1.63,0.065,1.421,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.421
"57","10/4/2022",2022,"MA","Ipswich","","Reference","T2",28,1.63,0.065,1.421,"veg panne","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.421
"58","10/4/2022",2022,"MA","Ipswich","","Reference","T2",32,1.625,0.07,1.426,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.426
"59","10/4/2022",2022,"MA","Ipswich","","Reference","T2",36,1.64,0.055,1.411,"high","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.411
"60","10/4/2022",2022,"MA","Ipswich","","Reference","T2",40,1.645,0.05,1.406,"north stake (high)","Ipswich - Reference",2022,0,40,1.246,1.406,1.246,1.406,0,0,0,1.406
"61","10/4/2022",2022,"MA","Ipswich","","No Action","T1",0,1.67,-0.745,1.561,"South stake (high)","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.561
"62","10/4/2022",2022,"MA","Ipswich","","No Action","T1",3,1.68,-0.755,1.551,"High","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.551
"63","10/4/2022",2022,"MA","Ipswich","","No Action","T1",5,1.68,-0.755,1.551,"high","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.551
"64","10/4/2022",2022,"MA","Ipswich","","No Action","T1",6,1.68,-0.755,1.551,"High","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.551
"65","10/4/2022",2022,"MA","Ipswich","","No Action","T1",10,1.69,-0.765,1.541,"veg panne","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.541
"66","10/4/2022",2022,"MA","Ipswich","","No Action","T1",13,1.7,-0.775,1.531,"veg panne","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.531
"67","10/4/2022",2022,"MA","Ipswich","","No Action","T1",15,1.72,-0.795,1.511,"veg panne","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.511
"68","10/4/2022",2022,"MA","Ipswich","","No Action","T1",16,1.7,-0.775,1.531,"veg panne","Ipswich - No Action",2022,0,36.5,1.561,1.056,1.561,1.056,0,0,0,1.531
