"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",0,1.84,-0.405,0.642,"east post",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.642
"2","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",2,1.71,-0.275,0.772,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.772
"3","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",4,1.66,-0.225,0.822,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.822
"4","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",6,1.655,-0.22,0.827,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.827
"5","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",7.3,1.675,-0.24,0.807,"pool edge",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.807
"6","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",8,1.685,-0.25,0.797,"pool center",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.797
"7","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",9.1,1.645,-0.21,0.837,"pool edge",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.837
"8","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",10,1.665,-0.23,0.817,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.817
"9","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",12,1.675,-0.24,0.807,"pannish",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.807
"10","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",14,1.645,-0.21,0.837,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.837
"11","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",16,1.66,-0.225,0.822,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.822
"12","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",18,1.66,-0.225,0.822,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.822
"13","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",20,1.665,-0.23,0.817,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.817
"14","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",22,1.66,-0.225,0.822,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.822
"15","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",24,1.66,-0.225,0.822,"",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.822
"16","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T1",25,1.68,-0.245,0.802,"west post",2021,0,25,0.642,0.802,0.642,0.802,0,0,0,0.802
"17","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",0,1.96,-0.485,0.562,"west post",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.562
"18","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",2,1.795,-0.32,0.727,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.727
"19","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",4,1.78,-0.305,0.742,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.742
"20","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",6,1.78,-0.305,0.742,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.742
"21","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",8,1.765,-0.29,0.757,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.757
"22","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",10,1.75,-0.275,0.772,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.772
"23","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",12,1.755,-0.28,0.767,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.767
"24","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",14,1.745,-0.27,0.777,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.777
"25","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",16,1.74,-0.265,0.782,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.782
"26","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",18,1.75,-0.275,0.772,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.772
"27","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",20,1.73,-0.255,0.792,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.792
"28","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",22,1.71,-0.235,0.812,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.812
"29","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",24,1.725,-0.25,0.797,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.797
"30","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",25,1.8,-0.325,0.722,"",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.722
"31","9/20/2021",2021,"Rhode Island","Jacobs Point","","No Action","No Action","T2",26,1.705,-0.23,0.817,"east post",2021,0,26,0.562,0.817,0.562,0.817,0,0,0,0.817
"32","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",0,1.785,-0.35,0.697,"west post",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.697
"33","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",1.5,1.715,-0.28,0.767,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.767
"34","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",3,1.695,-0.26,0.787,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.787
"35","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",4.5,1.695,-0.26,0.787,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.787
"36","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",6,1.695,-0.26,0.787,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.787
"37","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",7.5,1.685,-0.25,0.797,"wet spot",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.797
"38","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",9,1.735,-0.3,0.747,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.747
"39","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",10.5,1.645,-0.21,0.837,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.837
"40","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",12,1.645,-0.21,0.837,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.837
"41","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",13.5,1.63,-0.195,0.852,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.852
"42","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",15,1.59,-0.155,0.892,"hummock",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.892
"43","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",16.5,1.615,-0.18,0.867,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.867
"44","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",18,1.65,-0.215,0.832,"edge of wet spot",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.832
"45","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",19.5,1.615,-0.18,0.867,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.867
"46","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",21,1.635,-0.2,0.847,"",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.847
"47","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T1",21.7,1.625,-0.19,0.857,"east post",2021,0,21.7,0.697,0.857,0.697,0.857,0,0,0,0.857
"48","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",0,1.92,-0.485,0.562,"east post",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.562
"49","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",2,1.72,-0.285,0.762,"",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.762
"50","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",4,1.665,-0.23,0.817,"",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.817
"51","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",6,1.655,-0.22,0.827,"",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.827
"52","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",8,1.665,-0.23,0.817,"",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.817
"53","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",10,1.66,-0.225,0.822,"",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.822
"54","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",12,1.66,-0.225,0.822,"",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.822
"55","9/20/2021",2021,"Rhode Island","Jacobs Point","","Reference","Reference","T2",14,1.66,-0.225,0.822,"pannish",2021,0,24,0.562,0.832,0.562,0.832,0,0,0,0.822
