"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"No Action","T1",0.78,0.44,0.84
"2",2021,"No Action","T2",0.73,0.35,0.82
"3",2021,"Reference","T1",0.77,0.08,0.89
"4",2021,"Reference","T2",0.77,0.42,0.83
"5",2021,"Runnel","T1",0.84,0.44,0.98
"6",2021,"Runnel","T2",0.76,0.35,0.96
"7",2024,"No Action","T1",0.75,0.33,0.84
"8",2024,"No Action","T2",0.71,0.32,0.8
"9",2024,"Reference","T1",0.76,0.33,0.85
"10",2024,"Reference","T2",0.76,0.47,0.84
"11",2024,"Runnel","T1",0.84,0.64,0.93
"12",2024,"Runnel","T2",0.76,0.5,0.92
