"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","X","X.1","Moody.Marsh","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",0,NA,NA,1.382,"HM, Transect Start",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.382
"2","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",2.5,NA,NA,1.422,"HM, Embankment",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.422
"3","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",5,NA,NA,1.437,"HM",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.437
"4","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",7.5,NA,NA,1.447,"HM",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.447
"5","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",10,NA,NA,1.457,"HM",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.457
"6","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",12.5,NA,NA,1.472,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.472
"7","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",15,NA,NA,1.452,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.452
"8","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",17.5,NA,NA,1.432,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.432
"9","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",20,NA,NA,1.437,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.437
"10","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",22.5,NA,NA,1.442,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.442
"11","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",25,NA,NA,1.407,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.407
"12","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",27.5,NA,NA,1.417,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.417
"13","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",30,NA,NA,1.417,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.417
"14","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",32.5,NA,NA,1.417,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.417
"15","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",35,NA,NA,1.407,"Open Water, Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.407
"16","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",37.5,NA,NA,1.417,"Open Water, Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.417
"17","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",40,NA,NA,1.432,"Open Water, Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.432
"18","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",42.5,NA,NA,1.442,"Panne",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.442
"19","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",45,NA,NA,1.467,"HM",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.467
"20","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T1",47.2,NA,NA,1.622,"UE, Transect End",NA,NA,"",2021,0,47.2,1.382,1.622,1.382,1.622,0,0,0,1.622
"21","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T2",0,NA,NA,1.367,"HM, Transect Start",NA,NA,"",2021,0,45.2,1.367,1.587,1.367,1.587,0,0,0,1.367
"22","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T2",2.5,NA,NA,1.432,"HM",NA,NA,"",2021,0,45.2,1.367,1.587,1.367,1.587,0,0,0,1.432
"23","10/19/2021",2021,"Massachusetts","Kents Island","","No Action","No Action","T2",5,NA,NA,1.457,"HM",NA,NA,"",2021,0,45.2,1.367,1.587,1.367,1.587,0,0,0,1.457
