"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"No Action","T1",1.41,0.78,1.62
"2",2021,"No Action","T2",1.42,1.04,1.59
"3",2021,"Reference","T1",1.3,0.71,1.45
"4",2021,"Reference","T2",1.3,0.54,1.52
"5",2021,"Runnel 1","T1",1.36,0.65,1.64
"6",2021,"Runnel 1","T2",1.36,1.24,1.48
"7",2021,"Runnel 2","T1",1.41,1.36,1.54
"8",2021,"Runnel 2","T2",1.4,1.36,1.52
"9",2021,"Runnel 3","T1",1.34,1.29,1.38
"10",2021,"Runnel 3","T2",1.39,1.29,1.69
"11",2021,"Runnel 4","T1",1.44,1.39,1.54
"12",2021,"Runnel 4","T2",1.4,1.34,1.49
"13",2022,"No Action","T1",1.4,0.77,1.63
"14",2022,"No Action","T2",1.41,1.05,1.59
"15",2022,"Reference","T1",1.35,0.8,1.5
"16",2022,"Reference","T2",1.33,0.49,1.54
"17",2022,"Runnel 4","T1",1.37,1.17,1.52
"18",2022,"Runnel 4","T2",1.37,1.17,1.48
"19",2023,"No Action","T1",1.41,0.78,1.62
"20",2023,"No Action","T2",1.42,1.01,1.59
"21",2023,"Reference","T1",1.33,0.83,1.47
"22",2023,"Reference","T2",1.33,0.61,1.54
"23",2023,"Runnel 4","T1",1.42,1.2,1.54
"24",2023,"Runnel 4","T2",1.43,1.2,1.54
"25",2024,"No Action","T1",1.39,0.84,1.58
"26",2024,"No Action","T2",1.39,1.05,1.54
"27",2024,"Reference","T1",1.34,0.88,1.49
"28",2024,"Reference","T2",1.34,0.65,1.55
"29",2024,"Runnel 4","T1",1.41,1.24,1.55
"30",2024,"Runnel 4","T2",1.42,1.19,1.57
