"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"No Action","T1",0.46,0.3,0.62
"2",2022,"No Action","T2",0.48,0.38,0.59
"3",2022,"Reference","T1",0.42,0.28,0.5
"4",2022,"Reference","T2",0.37,0.11,0.54
"5",2022,"Runnel","T1",0.32,0.1,0.53
"6",2022,"Runnel","T2",0.3,0.06,0.46
"7",2024,"No Action"," T1",0.35,0.01,0.61
"8",2024,"No Action"," T2",0.38,0.27,0.5
"9",2024,"Reference","T1",0.37,0.22,0.46
"10",2024,"Reference","T2",0.4,0.1,0.56
"11",2024,"Runnel","T1",0.31,0.07,0.58
"12",2024,"Runnel","T2",0.29,-0.19,0.43
