"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T1",5,2.02,-0.4,1.373,"trans","Moody Marsh - No Action",2021,5,30,1.373,1.508,1.373,1.508,0,0,0,1.373
"2","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T1",7.5,1.97,-0.35,1.423,"high marsh","Moody Marsh - No Action",2021,5,30,1.373,1.508,1.373,1.508,0,0,0,1.423
"3","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T1",30,1.885,-0.265,1.508,"North post","Moody Marsh - No Action",2021,5,30,1.373,1.508,1.373,1.508,0,0,0,1.508
"4","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",5,1.82,-0.2,1.573,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.573
"5","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",7.5,1.8,-0.18,1.593,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.593
"6","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",30,1.825,-0.205,1.568,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.568
"7","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",32.5,1.88,-0.26,1.513,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.513
"8","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",35,1.83,-0.21,1.563,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.563
"9","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",37.5,1.825,-0.205,1.568,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.568
"10","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",40,1.82,-0.2,1.573,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.573
"11","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",42.5,1.825,-0.205,1.568,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.568
"12","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",45,1.855,-0.235,1.538,"pool","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.538
"13","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",47.5,1.82,-0.2,1.573,"","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.573
"14","10/7/2021",2021,"Maine","Moody Marsh","","No Action","T2",50,1.81,-0.19,1.583,"NE post","Moody Marsh - No Action",2021,5,50,1.573,1.583,1.573,1.583,0,0,0,1.583
"15","10/7/2021",2021,"Maine","Moody Marsh","","Reference","T1",5,1.81,-0.26,1.332,"","Moody Marsh - Reference",2021,5,40,1.332,1.437,1.332,1.437,0,0,0,1.332
"16","10/7/2021",2021,"Maine","Moody Marsh","","Reference","T1",7.5,1.77,-0.22,1.372,"","Moody Marsh - Reference",2021,5,40,1.332,1.437,1.332,1.437,0,0,0,1.372
"17","10/7/2021",2021,"Maine","Moody Marsh","","Reference","T1",30,1.69,-0.14,1.452,"","Moody Marsh - Reference",2021,5,40,1.332,1.437,1.332,1.437,0,0,0,1.452
"18","10/7/2021",2021,"Maine","Moody Marsh","","Reference","T1",32.5,1.695,-0.145,1.447,"","Moody Marsh - Reference",2021,5,40,1.332,1.437,1.332,1.437,0,0,0,1.447
"19","10/7/2021",2021,"Maine","Moody Marsh","","Reference","T1",35,1.69,-0.14,1.452,"","Moody Marsh - Reference",2021,5,40,1.332,1.437,1.332,1.437,0,0,0,1.452
"20","10/7/2021",2021,"Maine","Moody Marsh","","Reference","T1",37.5,1.72,-0.17,1.422,"","Moody Marsh - Reference",2021,5,40,1.332,1.437,1.332,1.437,0,0,0,1.422
