"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"No Action","T1",1.42,1.1,1.55
"2",2021,"No Action","T2",1.5,0.91,1.59
"3",2021,"Reference","T1",1.34,0.88,1.45
"4",2021,"Reference","T2",1.39,0.98,1.51
"5",2021,"Runnel","T1",1.11,0.55,1.47
"6",2021,"Runnel","T2",1.26,0.97,1.52
"7",2024,"No Action","T1",1.4,1.01,1.57
"8",2024,"No Action","T2",1.5,0.95,1.62
"9",2024,"Reference","T1",1.38,1.13,1.44
"10",2024,"Reference","T2",1.32,0.89,1.43
"11",2024,"Runnel","T1",1.08,0.49,1.44
"12",2024,"Runnel","T2",1.21,0.9,1.48
