"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"No Action","T1",0.48,0.31,0.56
"2",2022,"No Action","T2",0.5,0.39,0.56
"3",2022,"Reference","T1",0.43,0.23,0.5
"4",2022,"Reference","T2",0.4,0.27,0.43
"5",2022,"Runnel","T1",0.41,0.2,0.51
"6",2022,"Runnel","T2",0.38,0.09,0.52
"7",2024,"No Action","T1",0.48,0.23,0.58
"8",2024,"No Action","T2",0.5,0.41,0.57
"9",2024,"Reference","T1",0.45,0.3,0.52
"10",2024,"Reference","T2",0.42,0.28,0.45
"11",2024,"Runnel","T1",0.44,0.23,0.55
"12",2024,"Runnel","T2",0.43,0.07,0.57
