"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","X","X.1","Moody.Marsh","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",0,1.9,-0.37,1.194,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.194
"2","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",3,1.835,-0.305,1.259,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.259
"3","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",3.3,1.945,-0.415,1.149,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.149
"4","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",3.6,2.305,-0.775,0.789,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,0.789
"5","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",3.9,2.655,-1.125,0.439,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,0.439
"6","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",4.2,2.7,-1.17,0.394,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,0.394
"7","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",4.5,1.95,-0.42,1.144,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.144
"8","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",4.8,1.805,-0.275,1.289,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.289
"9","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",5.1,1.84,-0.31,1.254,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.254
"10","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",5.5,1.79,-0.26,1.304,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.304
"11","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",6,1.755,-0.225,1.339,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.339
"12","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",8,1.735,-0.205,1.359,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.359
"13","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",10,1.725,-0.195,1.369,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.369
"14","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",13,1.69,-0.16,1.404,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.404
"15","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",16,1.66,-0.13,1.434,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.434
"16","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",19,1.69,-0.16,1.404,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.404
"17","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",20,1.7,-0.17,1.394,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.394
"18","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",23,1.685,-0.155,1.409,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.409
"19","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",26,1.705,-0.175,1.389,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.389
"20","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",28,1.71,-0.18,1.384,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.384
"21","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",30,1.7,-0.17,1.394,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.394
"22","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",33,1.69,-0.16,1.404,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.404
"23","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",36,1.685,-0.155,1.409,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.409
"24","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",38,1.68,-0.15,1.414,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.414
"25","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",40,1.68,-0.15,1.414,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.414
"26","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",43,1.685,-0.155,1.409,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.409
"27","7/26/2021",2021,"Massachusetts","Old Town Hill","","Drainage Enhancement (SC1)","Runnel","T1",46,1.665,-0.135,1.429,"",NA,NA,"",2021,0,86,1.194,1.374,1.194,1.374,0,0,0,1.429
