"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","9/23/2021",2021,"Massachusetts","Pine Island","","No Action","T1",5,1.655,-0.17,1.524,"HM Panne, Short SPALt","Pine Island - No Action",2021,5,7.5,1.524,1.534,1.524,1.534,0,0,0,1.524
"2","9/23/2021",2021,"Massachusetts","Pine Island","","No Action","T1",7.5,1.645,-0.16,1.534,"HM Panne, Short SPALt","Pine Island - No Action",2021,5,7.5,1.524,1.534,1.524,1.534,0,0,0,1.534
"3","9/23/2021",2021,"Massachusetts","Pine Island","","No Action","T2",5,1.71,-0.18,1.514,"","Pine Island - No Action",2021,5,30.6,1.514,1.474,1.514,1.474,0,0,0,1.514
"4","9/23/2021",2021,"Massachusetts","Pine Island","","No Action","T2",7.5,1.7,-0.17,1.524,"","Pine Island - No Action",2021,5,30.6,1.514,1.474,1.514,1.474,0,0,0,1.524
"5","9/23/2021",2021,"Massachusetts","Pine Island","","No Action","T2",30,1.74,-0.21,1.484,"","Pine Island - No Action",2021,5,30.6,1.514,1.474,1.514,1.474,0,0,0,1.484
"6","9/23/2021",2021,"Massachusetts","Pine Island","","No Action","T2",30.6,1.75,-0.22,1.474,"North Post","Pine Island - No Action",2021,5,30.6,1.514,1.474,1.514,1.474,0,0,0,1.474
"7","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T1",4,1.73,-0.21,1.45,"","Pine Island - North - Reference",2021,4,8,1.45,1.49,1.45,1.49,0,0,0,1.45
"8","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T1",6,1.71,-0.19,1.47,"","Pine Island - North - Reference",2021,4,8,1.45,1.49,1.45,1.49,0,0,0,1.47
"9","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T1",8,1.69,-0.17,1.49,"","Pine Island - North - Reference",2021,4,8,1.45,1.49,1.45,1.49,0,0,0,1.49
"10","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T2",3.6,1.79,-0.27,1.39,"Low SPPAT","Pine Island - North - Reference",2021,3.6,8,1.39,1.56,1.39,1.56,0,0,0,1.39
"11","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T2",4,1.67,-0.15,1.51,"","Pine Island - North - Reference",2021,3.6,8,1.39,1.56,1.39,1.56,0,0,0,1.51
"12","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T2",6,1.65,-0.13,1.53,"","Pine Island - North - Reference",2021,3.6,8,1.39,1.56,1.39,1.56,0,0,0,1.53
"13","9/23/2021",2021,"Massachusetts","Pine Island","North","Reference","T2",8,1.62,-0.1,1.56,"","Pine Island - North - Reference",2021,3.6,8,1.39,1.56,1.39,1.56,0,0,0,1.56
"14","9/23/2021",2021,"Massachusetts","Pine Island","North","Runnel","T1",4,1.67,-0.15,1.51,"","Pine Island - North - Runnel",2021,4,8,1.51,1.47,1.51,1.47,0,0,0,1.51
"15","9/23/2021",2021,"Massachusetts","Pine Island","North","Runnel","T1",6,1.695,-0.175,1.485,"","Pine Island - North - Runnel",2021,4,8,1.51,1.47,1.51,1.47,0,0,0,1.485
"16","9/23/2021",2021,"Massachusetts","Pine Island","North","Runnel","T1",8,1.71,-0.19,1.47,"","Pine Island - North - Runnel",2021,4,8,1.51,1.47,1.51,1.47,0,0,0,1.47
"17","9/23/2021",2021,"Massachusetts","Pine Island","North","Runnel","T2",4,1.645,-0.125,1.535,"","Pine Island - North - Runnel",2021,4,8,1.535,1.52,1.535,1.52,0,0,0,1.535
"18","9/23/2021",2021,"Massachusetts","Pine Island","North","Runnel","T2",6,1.65,-0.13,1.53,"","Pine Island - North - Runnel",2021,4,8,1.535,1.52,1.535,1.52,0,0,0,1.53
"19","9/23/2021",2021,"Massachusetts","Pine Island","North","Runnel","T2",8,1.66,-0.14,1.52,"","Pine Island - North - Runnel",2021,4,8,1.535,1.52,1.535,1.52,0,0,0,1.52
"20","9/23/2021",2021,"Massachusetts","Pine Island","South","Reference","T1",3.5,1.595,-0.045,1.548,"","Pine Island - South - Reference",2021,3.5,7.5,1.548,1.563,1.548,1.563,0,0,0,1.548
"21","9/23/2021",2021,"Massachusetts","Pine Island","South","Reference","T1",5,1.595,-0.045,1.548,"","Pine Island - South - Reference",2021,3.5,7.5,1.548,1.563,1.548,1.563,0,0,0,1.548
