"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","X","X.1","Moody.Marsh","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",0,1.715,-0.175,1.481,"south post",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.481
"2","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",2.5,1.67,-0.13,1.526,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.526
"3","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",5,1.65,-0.11,1.546,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.546
"4","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",7.5,1.69,-0.15,1.506,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.506
"5","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",10,1.695,-0.155,1.501,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.501
"6","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",12.5,1.7,-0.16,1.496,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.496
"7","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",15,1.72,-0.18,1.476,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.476
"8","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",17.5,1.74,-0.2,1.456,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.456
"9","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",20,1.75,-0.21,1.446,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.446
"10","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",22.5,1.76,-0.22,1.436,"",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.436
"11","10/6/2021",2021,"Massachusetts","Plum Island - DPR","North","North Reference","Reference","T1",24,1.83,-0.29,1.366,"ditch edge",NA,NA,"",2021,0,50,1.481,1.521,1.481,1.521,0,0,0,1.366
