"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"North Reference","T1",1.43,0.15,1.56
"2",2021,"North Reference","T2",1.47,1.05,1.55
"3",2021,"North Reference","T3",1.41,0.4,1.55
"4",2021,"North Runnel","T1",1.46,1.16,1.54
"5",2021,"North Runnel","T2",1.48,1.09,1.58
"6",2021,"South No Action","T1",1.48,1.3,1.57
"7",2021,"South No Action","T2",1.46,0.99,1.57
"8",2021,"South Reference","T1",1.49,1.2,1.54
"9",2021,"South Reference","T2",1.46,0.89,1.55
"10",2021,"South Runnel","T1",1.47,0.71,1.63
"11",2021,"South Runnel","T2",1.42,0.89,1.58
"12",2024,"North Reference","T1",1.38,1,1.47
"13",2024,"North Reference","T2",1.38,1.08,1.46
"14",2024,"North Reference","T3",1.38,1,1.48
"15",2024,"North Runnel","T1",1.43,1.19,1.53
"16",2024,"North Runnel","T2",1.47,1.17,1.56
"17",2024,"South No Action","T1",1.47,1.23,1.55
"18",2024,"South No Action","T2",1.44,0.97,1.56
"19",2024,"South Reference","T1",1.49,1.27,1.55
"20",2024,"South Reference","T2",1.47,1.13,1.56
"21",2024,"South Runnel","T1",1.42,0.93,1.56
"22",2024,"South Runnel","T2",1.37,1.06,1.51
