"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",3.5,1.715,-0.385,0.155,"","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.155
"2","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",4,1.74,-0.41,0.13,"pool edge","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.13
"3","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",6,1.82,-0.49,0.05,"water","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.05
"4","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",8,1.795,-0.465,0.075,"water","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.075
"5","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",10,1.75,-0.42,0.12,"water","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.12
"6","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",12,1.71,-0.38,0.16,"","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.16
"7","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",14.1,1.73,-0.4,0.14,"west post","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,0.14
"8","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",15,1.88,-0.55,-0.01,"creek edge","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,-0.01
"9","8/6/2021",2021,"Rhode Island","Potters Pond","","No Action","T1",15.12,2.24,-0.91,-0.37,"in creek","Potters Pond - No Action",2021,3.5,15.12,0.155,-0.37,0.155,-0.37,0,0,0,-0.37
"10","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",5,1.62,-0.29,0.25,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.25
"11","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",7.5,1.61,-0.28,0.26,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.26
"12","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",10,1.6,-0.27,0.27,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.27
"13","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",12.5,1.625,-0.295,0.245,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.245
"14","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",15,1.63,-0.3,0.24,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.24
"15","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",17.5,1.61,-0.28,0.26,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.26
"16","8/6/2021",2021,"Rhode Island","Potters Pond","","Reference","T1",20,1.61,-0.28,0.26,"","Potters Pond - Reference",2021,5,30.7,0.25,0.29,0.25,0.29,0,0,0,0.26
