"","Site","Year","Site_Treatment","Year_0","Time_Since_Restoration","Overall_Treatment","Marsh_Condition","Elevation_mean","State","Tidal_Regime","MHT","MHHT","Spring_Tide","Tidal_Range","MHT_diff","MHHT_diff","Spring_Tide_diff","MHT_rel","MHHT_rel","Spring_Tide_rel"
"1","Broad Cove",2021,"Broad Cove - Reference",2017,4,"Reference","Panne",1.007,"MA","Microtidal",0.95,0.971,1.305,1.331,0.0569999999999999,0.0359999999999999,-0.298,4.28,2.7,-22.39
"2","Broad Cove",2021,"Broad Cove - Runnel",2017,4,"Runnel","Panne",1.018,"MA","Microtidal",0.95,0.971,1.305,1.331,0.0680000000000001,0.047,-0.287,5.11,3.53,-21.56
"3","Canonchet",2022,"Canonchet - No Action",2015,7,"No Action","Panne",0.416,"RI","Microtidal",0.454,0.503,0.764,1.056,-0.038,-0.087,-0.348,-3.6,-8.24,-32.95
"4","Canonchet",2022,"Canonchet - Reference",2015,7,"Reference","Panne",0.453,"RI","Microtidal",0.454,0.503,0.764,1.056,-0.001,-0.05,-0.311,-0.09,-4.73,-29.45
"5","Canonchet",2022,"Canonchet - Runnel",2015,7,"Runnel","Panne",0.428,"RI","Microtidal",0.454,0.503,0.764,1.056,-0.026,-0.075,-0.336,-2.46,-7.1,-31.82
"6","Essex - North",2022,"Essex - North - No Action",2022,0,"No Action","Pool",1.488,"MA","Mesotidal",1.232,1.364,2.038,2.893,0.256,0.124,-0.55,8.85,4.29,-19.01
"7","Essex - North",2022,"Essex - North - Runnel",2022,0,"Runnel","Pool",1.512,"MA","Mesotidal",1.232,1.364,2.038,2.893,0.28,0.148,-0.526,9.68,5.12,-18.18
"8","Essex - South",2022,"Essex - South - Reference",2022,0,"Reference","Pool",1.407,"MA","Mesotidal",1.353,1.447,1.759,2.893,0.054,-0.04,-0.352,1.87,-1.38,-12.17
"9","Essex - South",2022,"Essex - South - No Action",2022,0,"No Action","Pool",1.463,"MA","Mesotidal",1.353,1.447,1.759,2.893,0.11,0.016,-0.296,3.8,0.55,-10.23
"10","Essex - South",2022,"Essex - South - Runnel",2022,0,"Runnel","Pool",1.234,"MA","Mesotidal",1.353,1.447,1.759,2.893,-0.119,-0.213,-0.525,-4.11,-7.36,-18.15
