"","Date","Year","State","Site","SubSite","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","Site_Treatment","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",4,1.675,-0.34,0.71,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.71
"2","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",8,1.65,-0.315,0.735,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.735
"3","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",12,1.65,-0.315,0.735,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.735
"4","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",16,1.635,-0.3,0.75,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.75
"5","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",20,1.66,-0.325,0.725,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.725
"6","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",24,1.7,-0.365,0.685,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.685
"7","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",28,1.72,-0.385,0.665,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.665
"8","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",32,1.735,-0.4,0.65,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.65
"9","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",36,1.75,-0.415,0.635,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.635
"10","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",40,1.785,-0.45,0.6,"","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.6
"11","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",43.6,1.77,-0.435,0.615,"south post","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.615
"12","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T1",45,2.31,-0.975,0.075,"in creek","Round Marsh - Reference",2021,4,45,0.71,0.075,0.71,0.075,0,0,0,0.075
"13","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",5,1.55,-0.215,0.835,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.835
"14","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",10,1.59,-0.255,0.795,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.795
"15","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",15,1.61,-0.275,0.775,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.775
"16","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",20,1.665,-0.33,0.72,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.72
"17","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",25,1.665,-0.33,0.72,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.72
"18","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",30,1.665,-0.33,0.72,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.72
"19","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",35,1.69,-0.355,0.695,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.695
"20","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",40,1.685,-0.35,0.7,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.7
"21","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",45,1.7,-0.365,0.685,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.685
"22","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",50,1.68,-0.345,0.705,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.705
"23","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",55,1.7,-0.365,0.685,"","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.685
"24","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",56.1,1.78,-0.445,0.605,"south post","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.605
"25","9/15/2021",2021,"Rhode Island","Round Marsh","","Reference","T2",57,2.22,-0.885,0.165,"in creek","Round Marsh - Reference",2021,5,57,0.835,0.165,0.835,0.165,0,0,0,0.165
"26","9/15/2021",2021,"Rhode Island","Round Marsh","","Runnel","T1",5,1.72,-0.38,0.633,"","Round Marsh - Runnel",2021,5,57.6,0.633,0.098,0.633,0.098,0,0,0,0.633
