"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"Reference","T1",0.64,0.07,0.75
"2",2021,"Reference","T2",0.69,0.16,0.84
"3",2021,"Runnel","T1",0.53,0.1,0.83
"4",2021,"Runnel","T2",0.62,0.27,0.75
"5",2021,"Runnel","T3",0.62,0.32,0.73
"6",2024,"No Action","T1",0.49,0.05,0.6
"7",2024,"No Action","T2",0.6,0.51,0.74
"8",2024,"Reference","T1",0.6,0.45,0.68
"9",2024,"Reference","T2",0.65,0.24,0.82
"10",2024,"Runnel","T1",0.45,0.02,0.74
"11",2024,"Runnel","T2",0.64,0.28,0.74
"12",2024,"Runnel","T3",0.6,0.36,0.7
