"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",0,1.77,-0.275,0.612,"East post / Panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.612
"2","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",1,1.68,-0.185,0.702,"veg island",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.702
"3","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",5,1.69,-0.195,0.692,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.692
"4","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",10,1.7,-0.205,0.682,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.682
"5","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",15,1.7,-0.205,0.682,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.682
"6","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",18.2,1.635,-0.14,0.747,"ridge HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.747
"7","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",20,1.69,-0.195,0.692,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.692
"8","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",25,1.68,-0.185,0.702,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.702
"9","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",29.8,1.635,-0.14,0.747,"HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.747
"10","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",30,1.7,-0.205,0.682,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.682
"11","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",31,1.665,-0.17,0.717,"HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.717
"12","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",35,1.635,-0.14,0.747,"HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.747
"13","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",40,1.67,-0.175,0.712,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.712
"14","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",41.6,1.65,-0.155,0.732,"HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.732
"15","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",44.6,1.6,-0.105,0.782,"HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.782
"16","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",45,1.645,-0.15,0.737,"panne",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.737
"17","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",46.2,1.56,-0.065,0.822,"HM",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.822
"18","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",48,1.55,-0.055,0.832,"frag edge",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.832
"19","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T1",50,1.555,-0.06,0.827,"West post / Frag",2022,0,50,0.612,0.827,0.612,0.827,0,0,0,0.827
"20","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",0,1.885,-0.39,0.497,"NE stake",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.497
"21","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",0.3,1.74,-0.245,0.642,"veg panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.642
"22","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",5,1.67,-0.175,0.712,"veg panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.712
"23","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",5.2,1.8,-0.305,0.582,"edge of unveg panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.582
"24","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",7.2,1.73,-0.235,0.652,"edge of unveg panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.652
"25","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",10,1.73,-0.235,0.652,"edge of pool",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.652
"26","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",15,1.665,-0.17,0.717,"panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.717
"27","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",20,1.665,-0.17,0.717,"HM",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.717
"28","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",25,1.685,-0.19,0.697,"panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.697
"29","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",30,1.675,-0.18,0.707,"panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.707
"30","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",32,1.65,-0.155,0.732,"HM",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.732
"31","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",33,1.68,-0.185,0.702,"panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.702
"32","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",35,1.635,-0.14,0.747,"HM",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.747
"33","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",40,1.67,-0.175,0.712,"panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.712
"34","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",42,1.63,-0.135,0.752,"HM",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.752
"35","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",45,1.62,-0.125,0.762,"HM",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.762
"36","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",49,1.655,-0.16,0.727,"panne",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.727
"37","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",50,1.585,-0.09,0.797,"SW Stake / Frag edge",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.797
"38","8/8/2022",2022,"Rhode Island","Sapowet","","No Action","No Action","T2",51.5,1.59,-0.095,0.792,"Frag edge",2022,0,51.5,0.497,0.792,0.497,0.792,0,0,0,0.792
"39","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",0,1.87,-0.215,0.565,"E POST / POOL",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.602
"40","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",1,1.74,-0.085,0.695,"PANNE ISLAND",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.732
"41","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",5,1.76,-0.105,0.675,"PANNE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.712
"42","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",10,1.765,-0.11,0.67,"PANNE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.707
"43","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",15,1.74,-0.085,0.695,"PANNE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.732
"44","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",18.2,1.7,-0.045,0.735,"HM RIDGE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.772
"45","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",20,1.75,-0.095,0.685,"PANNE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.722
"46","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",25,1.73,-0.075,0.705,"PANNE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.742
"47","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",29.8,1.72,-0.065,0.715,"HM RIDGE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.752
"48","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",30,1.73,-0.075,0.705,"HM",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.742
"49","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",31,1.68,-0.025,0.755,"HM",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.792
"50","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",35,1.73,-0.075,0.705,"HM",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.742
"51","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",40,1.715,-0.06,0.72,"PANNE DEPRESSION",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.757
"52","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",41.6,1.665,-0.01,0.77,"HM",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.807
"53","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",44.6,1.69,-0.035,0.745,"HM",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.782
"54","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",45,1.705,-0.05,0.73,"TRANS",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.767
"55","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",46.2,1.63,0.025,0.805,"HM",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.842
"56","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",48,1.61,0.045,0.825,"HM / PHAUS EDGE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.862
"57","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T1",50,1.635,0.02,0.8,"W POST / PHAUS / UE",2022,0,50,0.612,0.827,0.565,0.8,-0.047,-0.0269999999999999,-0.037,0.837
"58","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",0,1.94,-0.285,0.495,"NE POST / POOL",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.502
"59","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",0.3,1.845,-0.19,0.59,"POOL",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.597
"60","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",5,1.75,-0.095,0.685,"PANNE EDGE",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.692
"61","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",5.2,1.93,-0.275,0.505,"POOL EDGE",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.512
"62","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",7.2,1.84,-0.185,0.595,"POOL EDGE",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.602
"63","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",10,1.81,-0.155,0.625,"POOL EDGE",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.632
"64","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",15,1.71,-0.055,0.725,"PANNE",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.732
"65","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",20,1.71,-0.055,0.725,"HM PATCH",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.732
"66","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",25,1.73,-0.075,0.705,"PANNE",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.712
"67","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",30,1.735,-0.08,0.7,"WET PANNE DEPRESSION",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.707
"68","7/22/2024",2024,"Rhode Island","Sapowet","","No Action","No Action","T2",32,1.68,-0.025,0.755,"HM",2022,0,51.5,0.497,0.792,0.495,0.78,-0.002,-0.012,-0.00700000000000001,0.762
