"","Date","Season","State","Salt_Marsh","SubSite","Site_Treatment","Overall_Treatment","Transect","Distance_m","Depth_m","Depth_to_Benchmark_m","elevation","Description","X","X.1","Moody.Marsh","year1","year1_transect_start","year1_transect_end","year1_transect_start_elev","year1_transect_end_elev","transect_start_elev","transect_end_elev","transect_start_diff","transect_end_diff","transect_endpoints_avg","elev_corrected"
"1","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",0,1.97,-0.585,0.14,"west post",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.14
"2","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",2,1.935,-0.55,0.175,"",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.175
"3","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",4,1.92,-0.535,0.19,"",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.19
"4","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",4.9,1.91,-0.525,0.2,"panne edge",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.2
"5","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",5.1,2.03,-0.645,0.08,"in panne",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.08
"6","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",8,2.01,-0.625,0.1,"in panne",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.1
"7","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",10,2,-0.615,0.11,"in panne",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.11
"8","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",12,2,-0.615,0.11,"panne edge",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.11
"9","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",12.2,1.98,-0.595,0.13,"panne edge",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.13
"10","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",12.6,1.91,-0.525,0.2,"panne bank",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.2
"11","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",14,1.89,-0.505,0.22,"",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.22
"12","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",16,1.82,-0.435,0.29,"",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.29
"13","8/5/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T1",19.2,1.77,-0.385,0.34,"east post",NA,NA,"",2021,0,19.2,0.14,0.34,0.14,0.34,0,0,0,0.34
"14","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",0,1.775,-0.335,0.203,"west post",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.203
"15","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",3,1.825,-0.385,0.153,"",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.153
"16","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",3.3,1.75,-0.31,0.228,"",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.228
"17","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",4,1.85,-0.41,0.128,"pool",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.128
"18","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",5,1.845,-0.405,0.133,"pool",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.133
"19","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",7,1.85,-0.41,0.128,"pool",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.128
"20","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",8.3,1.82,-0.38,0.158,"pool edge",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.158
"21","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",9,1.74,-0.3,0.238,"",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.238
"22","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",10,1.735,-0.295,0.243,"",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.243
"23","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",13,1.75,-0.31,0.228,"",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.228
"24","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",15,1.79,-0.35,0.188,"vegetated pool",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.188
"25","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",17,1.76,-0.32,0.218,"out of pool",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.218
"26","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",18.5,1.79,-0.35,0.188,"vegetated pool",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.188
"27","8/6/2021",2021,"Rhode Island","Weekapaug","","No Action","No Action","T2",20,1.745,-0.305,0.233,"",NA,NA,"",2021,0,25.2,0.203,0.333,0.203,0.333,0,0,0,0.233
