"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"No Action","T1",0.15,-0.23,0.34
"2",2021,"No Action","T2",0.21,0.13,0.34
"3",2021,"Reference","T1",0.25,0.13,0.37
"4",2021,"Reference","T2",0.27,0.23,0.37
"5",2021,"Runnel","T1",0.23,-0.04,0.44
"6",2021,"Runnel","T2",0.23,0.06,0.36
"7",2024,"No Action","T1",0.2,0,0.38
"8",2024,"No Action","T2",0.27,0.18,0.39
"9",2024,"Reference","T1",0.26,0.05,0.4
"10",2024,"Reference","T2",0.32,0.29,0.43
"11",2024,"Runnel","T1",0.26,-0.01,0.44
"12",2024,"Runnel","T2",0.29,0.13,0.42
