"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"No Action","T1",0.12,-0.09,0.26
"2",2021,"No Action","T2",0.19,-0.13,0.49
"3",2021,"Reference","T1",0.34,0.02,0.75
"4",2021,"Reference","T2",0.22,-0.17,0.35
"5",2021,"Runnel","T1",0.32,0.09,0.65
"6",2021,"Runnel","T2",0.13,-0.08,0.24
"7",2024,"No Action","T1",0.1,-0.3,0.25
"8",2024,"No Action","T2",0.2,0.08,0.46
"9",2024,"Reference","T1",0.33,0.21,0.71
"10",2024,"Reference","T2",0.22,0.13,0.34
"11",2024,"Runnel","T1",0.29,0.05,0.72
"12",2024,"Runnel","T2",0.13,-0.02,0.23
