Date,Year,State,Site,SubSite,Overall_Treatment,Transect,Distance_m,Depth_m,Depth_to_Benchmark_m,Elevation_NAVD88m,Description
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,-1,2.295,-0.675,1.098,creek edge
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,0,2.21,-0.59,1.183,South post
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,2.5,2.12,-0.5,1.273,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,5,2.02,-0.4,1.373,trans
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,7.5,1.97,-0.35,1.423,high marsh
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,10,1.95,-0.33,1.443,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,12.5,1.905,-0.285,1.488,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,15,1.89,-0.27,1.503,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,17.5,1.88,-0.26,1.513,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,20,1.86,-0.24,1.533,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,22.5,1.84,-0.22,1.553,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,25,1.89,-0.27,1.503,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,27.5,1.905,-0.285,1.488,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,30,1.885,-0.265,1.508,North post
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,-1,2.48,-0.86,0.913,creek edge
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,0,2.35,-0.73,1.043,SW post
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,2.5,1.915,-0.295,1.478,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,5,1.82,-0.2,1.573,
10/7/2021,2021,ME,Moody Marsh,,ax,T2,7.5,1.8,-0.18,1.593,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,10,1.815,-0.195,1.578,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,12.5,1.83,-0.21,1.563,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,15,1.83,-0.21,1.563,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,17.5,1.84,-0.22,1.553,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,20,1.91,-0.29,1.483,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,22.5,1.88,-0.26,1.513,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,25,1.86,-0.24,1.533,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,27.5,1.86,-0.24,1.533,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,30,1.825,-0.205,1.568,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,32.5,1.88,-0.26,1.513,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,35,1.83,-0.21,1.563,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,37.5,1.825,-0.205,1.568,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,40,1.82,-0.2,1.573,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,42.5,1.825,-0.205,1.568,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,45,1.855,-0.235,1.538,pool
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,47.5,1.82,-0.2,1.573,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,50,1.81,-0.19,1.583,NE post
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,-1,2.26,-0.71,0.882,creek edge
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,0,2.235,-0.685,0.907,SE post
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,2.5,2.055,-0.505,1.087,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,5,1.81,-0.26,1.332,
