"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"Canonchet - No Action","T1",0.44,0.37,0.51
"2",2022,"Canonchet - No Action","T2",0.39,0.33,0.46
"3",2022,"Canonchet - Reference","T1",0.47,0.41,0.58
"4",2022,"Canonchet - Reference","T2",0.44,0.42,0.46
"5",2022,"Canonchet - Runnel","T1",0.41,0.4,0.42
"6",2022,"Canonchet - Runnel","T2",0.44,0.41,0.47
"7",2024,"Canonchet - No Action","T1",0.54,0.49,0.62
"8",2024,"Canonchet - No Action","T2",0.46,0.38,0.53
"9",2024,"Canonchet - Reference","T1",0.46,0.42,0.58
"10",2024,"Canonchet - Reference","T2",0.44,0.43,0.46
"11",2024,"Canonchet - Runnel","T1",0.46,0.44,0.47
"12",2024,"Canonchet - Runnel","T2",0.48,0.44,0.53
