"","Site_Treatment","Transect","Year","elevation_mean","elevation_se","Transect_difference"
"1","Jacobs Point - No Action","T1",2021,0.811,0.004,0
"2","Jacobs Point - No Action","T1",2024,0.801,0.008,-0.01
"3","Jacobs Point - No Action","T2",2021,0.776,0.011,0
"4","Jacobs Point - No Action","T2",2024,0.76,0.006,-0.016
"5","Jacobs Point - Reference","T1",2021,0.821,0.033,0
"6","Jacobs Point - Reference","T1",2024,0.781,0.04,-0.0399999999999999
"7","Jacobs Point - Reference","T2",2021,0.819,0.003,0
"8","Jacobs Point - Reference","T2",2024,0.802,0.007,-0.0169999999999999
"9","Jacobs Point - Runnel","T1",2021,0.885,0.024,0
"10","Jacobs Point - Runnel","T1",2024,0.859,0.02,-0.026
"11","Jacobs Point - Runnel","T2",2021,0.83,0.027,0
"12","Jacobs Point - Runnel","T2",2024,0.842,0.014,0.012
