"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"Jacobs Point - No Action","T1",0.81,0.8,0.82
"2",2021,"Jacobs Point - No Action","T2",0.78,0.74,0.82
"3",2021,"Jacobs Point - Reference","T1",0.82,0.75,0.89
"4",2021,"Jacobs Point - Reference","T2",0.82,0.81,0.83
"5",2021,"Jacobs Point - Runnel","T1",0.89,0.82,0.98
"6",2021,"Jacobs Point - Runnel","T2",0.83,0.78,0.87
"7",2024,"Jacobs Point - No Action","T1",0.8,0.77,0.83
"8",2024,"Jacobs Point - No Action","T2",0.76,0.74,0.78
"9",2024,"Jacobs Point - Reference","T1",0.78,0.68,0.85
"10",2024,"Jacobs Point - Reference","T2",0.8,0.78,0.82
"11",2024,"Jacobs Point - Runnel","T1",0.86,0.81,0.92
"12",2024,"Jacobs Point - Runnel","T2",0.84,0.81,0.86
