"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"Middlebridge - No Action","T1",0.43,0.42,0.48
"2",2022,"Middlebridge - No Action","T2",0.47,0.38,0.5
"3",2022,"Middlebridge - Reference","T1",0.43,0.4,0.46
"4",2022,"Middlebridge - Reference","T2",0.43,0.41,0.44
"5",2022,"Middlebridge - Runnel","T1",0.32,0.29,0.35
"6",2022,"Middlebridge - Runnel","T2",0.29,0.25,0.35
"7",2024,"Middlebridge - No Action","T1",0.29,0.24,0.39
"8",2024,"Middlebridge - No Action","T2",0.37,0.27,0.42
"9",2024,"Middlebridge - Reference","T1",0.38,0.35,0.41
"10",2024,"Middlebridge - Reference","T2",0.46,0.44,0.47
"11",2024,"Middlebridge - Runnel","T1",0.31,0.25,0.34
"12",2024,"Middlebridge - Runnel","T2",0.29,0.25,0.36
