"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"Moody Marsh - No Action","T1",1.5,1.44,1.53
"2",2021,"Moody Marsh - No Action","T2",1.55,1.48,1.58
"3",2021,"Moody Marsh - Reference","T1",1.43,1.39,1.45
"4",2021,"Moody Marsh - Reference","T2",1.44,1.41,1.45
"5",2021,"Moody Marsh - Runnel","T1",1.24,0.98,1.45
"6",2021,"Moody Marsh - Runnel","T2",1.24,1.09,1.44
"7",2024,"Moody Marsh - No Action","T1",1.48,1.44,1.53
"8",2024,"Moody Marsh - No Action","T2",1.56,1.47,1.62
"9",2024,"Moody Marsh - Reference","T1",1.42,1.39,1.43
"10",2024,"Moody Marsh - Reference","T2",1.4,1.37,1.43
"11",2024,"Moody Marsh - Runnel","T1",1.19,0.93,1.41
"12",2024,"Moody Marsh - Runnel","T2",1.18,0.95,1.42
