"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"Narrow River - No Action","T1",0.5,0.48,0.53
"2",2022,"Narrow River - No Action","T2",0.51,0.46,0.55
"3",2022,"Narrow River - Reference","T1",0.47,0.42,0.5
"4",2022,"Narrow River - Reference","T2",0.42,0.41,0.42
"5",2022,"Narrow River - Runnel","T1",0.46,0.44,0.48
"6",2022,"Narrow River - Runnel","T2",0.48,0.45,0.5
"7",2024,"Narrow River - No Action","T1",0.51,0.48,0.54
"8",2024,"Narrow River - No Action","T2",0.52,0.44,0.56
"9",2024,"Narrow River - Reference","T1",0.49,0.45,0.52
"10",2024,"Narrow River - Reference","T2",0.44,0.43,0.45
"11",2024,"Narrow River - Runnel","T1",0.49,0.47,0.51
"12",2024,"Narrow River - Runnel","T2",0.54,0.5,0.57
