"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"Old Town Hill - No Action","T1",1.35,1.23,1.45
"2",2022,"Old Town Hill - No Action","T2",1.35,1.21,1.44
"3",2022,"Old Town Hill - Reference","T1",1.49,1.48,1.52
"4",2022,"Old Town Hill - Reference","T2",1.47,1.44,1.51
"5",2022,"Old Town Hill - Runnel","T1",1.41,1.38,1.43
"6",2022,"Old Town Hill - Runnel","T2",1.38,1.33,1.42
"7",2022,"Old Town Hill - Runnel","T3",1.41,1.4,1.42
"8",2022,"Old Town Hill - Runnel","T4",1.41,1.39,1.43
"9",2024,"Old Town Hill - No Action","T1",1.36,1.22,1.47
"10",2024,"Old Town Hill - No Action","T2",1.37,1.2,1.46
"11",2024,"Old Town Hill - Reference","T1",1.43,1.4,1.46
"12",2024,"Old Town Hill - Reference","T2",1.41,1.37,1.44
"13",2024,"Old Town Hill - Runnel","T1",1.43,1.41,1.44
"14",2024,"Old Town Hill - Runnel","T2",1.39,1.34,1.43
"15",2024,"Old Town Hill - Runnel","T3",1.42,1.4,1.44
"16",2024,"Old Town Hill - Runnel","T4",1.42,1.39,1.48
