"","Season","Site_Treatment","Transect","transect_shift"
"1",2021,"No Action","T1",0
"2",2021,"No Action","T2",0
"3",2021,"North - Reference","T1",0
"4",2021,"North - Reference","T2",0
"5",2021,"North - Runnel","T1",0
"6",2021,"North - Runnel","T2",0
"7",2021,"South - Reference","T1",0
"8",2021,"South - Reference","T2",0
"9",2021,"South - Runnel","T1",0
"10",2021,"South - Runnel","T2",0
"11",2024,"No Action","T1",0.02
"12",2024,"No Action","T2",-0.022
"13",2024,"North - Reference","T1",-0.013
"14",2024,"North - Reference","T2",0.012
"15",2024,"North - Runnel","T1",-0.013
"16",2024,"North - Runnel","T2",0.005
"17",2024,"South - Reference","T1",-0.015
"18",2024,"South - Reference","T2",0.017
"19",2024,"South - Runnel","T1",0.04
"20",2024,"South - Runnel","T2",-0.045
