"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"Plum Island - DPR - North - Reference","T1",1.5,1.45,1.55
"2",2021,"Plum Island - DPR - North - Reference","T2",1.5,1.38,1.55
"3",2021,"Plum Island - DPR - North - Reference","T3",1.49,1.45,1.55
"4",2021,"Plum Island - DPR - North - Runnel","T1",1.5,1.44,1.54
"5",2021,"Plum Island - DPR - North - Runnel","T2",1.51,1.43,1.57
"6",2021,"Plum Island - DPR - North - Runnel","T3",1.52,1.44,1.57
"7",2021,"Plum Island - DPR - South - No Action","T1",1.49,1.3,1.56
"8",2021,"Plum Island - DPR - South - No Action","T2",1.5,1.37,1.55
"9",2021,"Plum Island - DPR - South - Reference","T1",NA,Inf,-Inf
"10",2021,"Plum Island - DPR - South - Reference","T2",NA,Inf,-Inf
"11",2021,"Plum Island - DPR - South - Runnel","T1",1.53,1.45,1.63
"12",2021,"Plum Island - DPR - South - Runnel","T2",1.49,1.36,1.57
"13",2024,"Plum Island - DPR - North - Reference","T1",1.41,1.35,1.46
"14",2024,"Plum Island - DPR - North - Reference","T2",1.4,1.28,1.46
"15",2024,"Plum Island - DPR - North - Reference","T3",1.42,1.38,1.48
"16",2024,"Plum Island - DPR - North - Runnel","T1",1.48,1.3,1.53
"17",2024,"Plum Island - DPR - North - Runnel","T2",1.49,1.36,1.56
"18",2024,"Plum Island - DPR - North - Runnel","T3",1.5,1.43,1.56
"19",2024,"Plum Island - DPR - South - No Action","T1",1.51,1.41,1.55
"20",2024,"Plum Island - DPR - South - No Action","T2",1.49,1.33,1.56
"21",2024,"Plum Island - DPR - South - Reference","T1",1.5,1.48,1.52
"22",2024,"Plum Island - DPR - South - Reference","T2",1.49,1.46,1.56
"23",2024,"Plum Island - DPR - South - Runnel","T1",1.48,1.4,1.56
"24",2024,"Plum Island - DPR - South - Runnel","T2",1.45,1.31,1.51
