"","Site_Treatment","Transect","Year","elevation_mean","elevation_se","Transect_difference"
"1","Plum Island - PLHA - North - Reference","T1",2022,1.472,0.011,0
"2","Plum Island - PLHA - North - Reference","T1",2024,1.5,0.01,0.028
"3","Plum Island - PLHA - North - Reference","T2",2022,1.448,0.015,0
"4","Plum Island - PLHA - North - Reference","T2",2024,1.475,0.013,0.0270000000000001
"5","Plum Island - PLHA - North - Runnel","T1",2022,1.511,0.039,0
"6","Plum Island - PLHA - North - Runnel","T1",2024,1.493,0.04,-0.0179999999999998
"7","Plum Island - PLHA - North - Runnel","T2",2022,1.459,0.041,0
"8","Plum Island - PLHA - North - Runnel","T2",2024,1.422,0.043,-0.0370000000000001
"9","Plum Island - PLHA - South - Reference","T1",2022,1.462,0.006,0
"10","Plum Island - PLHA - South - Reference","T1",2024,1.282,0.006,-0.18
"11","Plum Island - PLHA - South - Reference","T2",2022,1.44,0.011,0
"12","Plum Island - PLHA - South - Reference","T2",2024,1.252,0.011,-0.188
"13","Plum Island - PLHA - South - Runnel","T1",2022,1.518,0.031,0
"14","Plum Island - PLHA - South - Runnel","T1",2024,1.486,0.043,-0.032
"15","Plum Island - PLHA - South - Runnel","T2",2022,1.479,0.07,0
"16","Plum Island - PLHA - South - Runnel","T2",2024,1.466,0.14,-0.0130000000000001
