"","Season","Site_Treatment","Transect","transect_shift"
"1",2022,"No Action","T1",0
"2",2022,"No Action","T2",0
"3",2022,"North Reference","T1",0
"4",2022,"North Reference","T2",0
"5",2022,"North Runnel","T1",0
"6",2022,"North Runnel","T2",0
"7",2022,"South Reference","T1",0
"8",2022,"South Reference","T2",0
"9",2022,"South Runnel","T1",0
"10",2022,"South Runnel","T2",0
"11",2024,"No Action","T1",-0.002
"12",2024,"No Action","T2",0.033
"13",2024,"North Reference","T1",0.017
"14",2024,"North Reference","T2",-0.025
"15",2024,"North Runnel","T1",0.037
"16",2024,"North Runnel","T2",0.039
"17",2024,"South Reference","T1",0.184
"18",2024,"South Reference","T2",0.18
"19",2024,"South Runnel","T1",0.012
"20",2024,"South Runnel","T2",0.013
