"","Site_Treatment","Transect","Year","elevation_mean","elevation_se","Transect_difference"
"1","Round Marsh - No Action","T1",2021,0.603,0.012,0
"2","Round Marsh - No Action","T1",2024,0.529,0.012,-0.074
"3","Round Marsh - No Action","T2",2021,0.669,0.023,0
"4","Round Marsh - No Action","T2",2024,0.594,0.024,-0.0750000000000001
"5","Round Marsh - Reference","T1",2021,0.684,0.028,0
"6","Round Marsh - Reference","T1",2024,0.604,0.03,-0.0800000000000001
"7","Round Marsh - Reference","T2",2021,0.728,0.017,0
"8","Round Marsh - Reference","T2",2024,0.651,0.026,-0.077
"9","Round Marsh - Runnel","T1",2021,0.618,0.016,0
"10","Round Marsh - Runnel","T1",2024,0.507,0.016,-0.111
"11","Round Marsh - Runnel","T2",2021,0.666,0.01,0
"12","Round Marsh - Runnel","T2",2024,0.66,0.005,-0.00600000000000001
"13","Round Marsh - Runnel","T3",2021,0.652,0.011,0
"14","Round Marsh - Runnel","T3",2024,0.621,0.01,-0.031
