"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"Round Marsh - No Action","T1",0.6,0.54,0.64
"2",2021,"Round Marsh - No Action","T2",0.67,0.61,0.77
"3",2021,"Round Marsh - Reference","T1",0.68,0.6,0.75
"4",2021,"Round Marsh - Reference","T2",0.73,0.7,0.8
"5",2021,"Round Marsh - Runnel","T1",0.62,0.58,0.65
"6",2021,"Round Marsh - Runnel","T2",0.67,0.63,0.68
"7",2021,"Round Marsh - Runnel","T3",0.65,0.63,0.69
"8",2024,"Round Marsh - No Action","T1",0.53,0.46,0.56
"9",2024,"Round Marsh - No Action","T2",0.59,0.54,0.7
"10",2024,"Round Marsh - Reference","T1",0.6,0.51,0.66
"11",2024,"Round Marsh - Reference","T2",0.65,0.55,0.7
"12",2024,"Round Marsh - Runnel","T1",0.51,0.46,0.53
"13",2024,"Round Marsh - Runnel","T2",0.66,0.64,0.67
"14",2024,"Round Marsh - Runnel","T3",0.62,0.59,0.66
