"","Season","Site_Treatment","Transect","transect_shift"
"1",2022,"No Action","T1",0
"2",2022,"No Action","T2",0
"3",2022,"North Runnel","T1",0
"4",2022,"North Runnel","T2",0
"5",2022,"Reference","T1",0
"6",2022,"Reference","T2",0
"7",2022,"South Runnel","T1",0
"8",2022,"South Runnel","T2",0
"9",2024,"No Action","T1",0.037
"10",2024,"No Action","T2",0.007
"11",2024,"North Runnel","T1",0.129
"12",2024,"North Runnel","T2",-0.009
"13",2024,"Reference","T1",-0.291
"14",2024,"Reference","T2",-0.308
"15",2024,"South Runnel","T1",-0.07
"16",2024,"South Runnel","T2",-0.096
