"","Site_Treatment","Transect","Year","elevation_mean","elevation_se","Transect_difference"
"1","Winnapaug - No Action","T1",2021,0.208,0.02,0
"2","Winnapaug - No Action","T1",2024,0.202,0.017,-0.00599999999999998
"3","Winnapaug - No Action","T2",2021,0.198,0.029,0
"4","Winnapaug - No Action","T2",2024,0.188,0.035,-0.01
"5","Winnapaug - Reference","T1",2021,0.274,0.017,0
"6","Winnapaug - Reference","T1",2024,0.245,0.018,-0.029
"7","Winnapaug - Reference","T2",2021,0.234,0.009,0
"8","Winnapaug - Reference","T2",2024,0.209,0.012,-0.025
"9","Winnapaug - Runnel","T1",2021,0.298,0.012,0
"10","Winnapaug - Runnel","T1",2024,0.257,0.012,-0.041
"11","Winnapaug - Runnel","T2",2021,0.177,0.026,0
"12","Winnapaug - Runnel","T2",2024,0.163,0.024,-0.014
