"","Year","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"Winnapaug - No Action","T1",0.21,0.15,0.23
"2",2021,"Winnapaug - No Action","T2",0.2,0.11,0.24
"3",2021,"Winnapaug - Reference","T1",0.27,0.25,0.32
"4",2021,"Winnapaug - Reference","T2",0.23,0.2,0.25
"5",2021,"Winnapaug - Runnel","T1",0.3,0.27,0.33
"6",2021,"Winnapaug - Runnel","T2",0.18,0.09,0.24
"7",2024,"Winnapaug - No Action","T1",0.2,0.16,0.23
"8",2024,"Winnapaug - No Action","T2",0.19,0.09,0.24
"9",2024,"Winnapaug - Reference","T1",0.24,0.21,0.29
"10",2024,"Winnapaug - Reference","T2",0.21,0.16,0.23
"11",2024,"Winnapaug - Runnel","T1",0.26,0.24,0.29
"12",2024,"Winnapaug - Runnel","T2",0.16,0.09,0.22
